beta	E	E_err	N vort	N vort err:
0.300000	-0.4961503472225759	0.0018997405136997	0.3798886718750000	0.0005188906984978
0.310000	-0.5150712873045850	0.0021447492414398	0.3753046875000000	0.0008570102407407
0.320000	-0.5393470516962767	0.0016611277917573	0.3690000000000000	0.0007465645257981
0.330000	-0.5568930460101490	0.0017093301671905	0.3639375000000000	0.0009226204055997
0.340000	-0.5832908791826339	0.0022015493904762	0.3564531250000000	0.0008636425885543
0.350000	-0.6070015564838500	0.0018392072737179	0.3502363281250000	0.0006452596001778
0.360000	-0.6330517531954970	0.0022483340494881	0.3434179687500000	0.0009826720891929
0.370000	-0.6548322524526611	0.0023104050633781	0.3368007812500000	0.0008701288687912
0.380000	-0.6865502971252279	0.0020978986640808	0.3280625000000000	0.0007004838920182
0.390000	-0.7168559798577399	0.0024322985979368	0.3191308593750000	0.0007342671382417
0.400000	-0.7487596205457019	0.0027204491595806	0.3101132812500000	0.0009321000768693
0.410000	-0.7878716915094786	0.0026291950549979	0.2979882812500000	0.0009396925601366
0.420000	-0.8342591238654981	0.0043772520755280	0.2848574218750000	0.0013855738387769
0.430000	-0.8878151448138571	0.0040209406358660	0.2689804687500000	0.0013606838380173
0.440000	-0.9516526036511812	0.0022375674437858	0.2491171875000000	0.0009386916768272
0.450000	-1.0400921354134463	0.0037949321772294	0.2226835937500000	0.0013271060211588
0.460000	-1.1228178094493881	0.0043281582097563	0.1982988281250000	0.0014825979315658
0.470000	-1.2130096676390145	0.0040728210173261	0.1736914062500000	0.0012104648775270
0.480000	-1.2879775863960345	0.0046767012084629	0.1534765625000000	0.0012586212002667
0.490000	-1.3708178688809560	0.0032084278910698	0.1314863281250000	0.0008818161578605
