beta	E	E_err	N vort	N vort err:
0.300000	-0.4941170070667772	0.0015550155698325	0.3813398437500000	0.0005379253296791
0.310000	-0.5150712873045850	0.0021447492414398	0.3753046875000000	0.0008570102407407
0.320000	-0.5335572193464568	0.0018488325807711	0.3697519531250000	0.0004516771172802
0.330000	-0.5568930460101490	0.0017093301671905	0.3639375000000000	0.0009226204055997
0.340000	-0.5824260144264924	0.0025066627697312	0.3570371093750000	0.0009806381850284
0.350000	-0.6070015564838500	0.0018392072737179	0.3502363281250000	0.0006452596001778
0.360000	-0.6330456988648117	0.0022463829059386	0.3433281250000000	0.0009738762396212
0.370000	-0.6548322524526611	0.0023104050633781	0.3368007812500000	0.0008701288687912
0.380000	-0.6861684800534592	0.0018760013618775	0.3275996093750000	0.0007313388374101
0.390000	-0.7168559798577399	0.0024322985979368	0.3191308593750000	0.0007342671382417
0.400000	-0.7476834248572969	0.0025142309297467	0.3096757812500000	0.0010402740914249
0.410000	-0.7878716915094786	0.0026291950549979	0.2979882812500000	0.0009396925601366
0.420000	-0.8297084473739496	0.0034926515287190	0.2848242187500000	0.0010963077324703
0.430000	-0.8878151448138571	0.0040209406358660	0.2689804687500000	0.0013606838380173
0.440000	-0.9479933830741063	0.0052065970012352	0.2510136718750000	0.0016421527069332
0.450000	-1.0400921354134463	0.0037949321772294	0.2226835937500000	0.0013271060211588
0.460000	-1.1181255325925654	0.0039927735866934	0.1995058593750000	0.0011835230968089
0.470000	-1.2130096676390145	0.0040728210173261	0.1736914062500000	0.0012104648775270
0.480000	-1.2893033626898045	0.0039873380140659	0.1530117187500000	0.0012820122817642
0.490000	-1.3708178688809560	0.0032084278910698	0.1314863281250000	0.0008818161578605
