beta	E:
0.300000	-0.4946720849334059	0.0022685415709260
0.310000	-0.5142201222014180	0.0019697019385142
0.320000	-0.5391248199764687	0.0021220445657637
0.330000	-0.5590129394851925	0.0020475084957995
0.340000	-0.5845336258730155	0.0021593959514661
0.350000	-0.6073137490241972	0.0024477047137650
0.360000	-0.6274157487964226	0.0019385763408652
0.370000	-0.6554021471428038	0.0030161055569382
0.380000	-0.6844518323734760	0.0031277367122104
0.390000	-0.7168222534564198	0.0023061594898260
0.400000	-0.7520708479976168	0.0017314481222016
0.410000	-0.7849613608825736	0.0030524009892793
0.420000	-0.8298119860884122	0.0028400043527344
0.430000	-0.8872889640011710	0.0028716098467138
0.440000	-0.9587945333487363	0.0045082604868899
0.450000	-1.0367757987867998	0.0034365159373559
0.460000	-1.1186821719771443	0.0038502471181995
0.470000	-1.2107452278286819	0.0038953197787335
0.480000	-1.2888597846918397	0.0034792691657415
0.490000	-1.3656137224432123	0.0034763479437522
