                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
   -1642.8986739628687701      303.4479503136092262      200.2490528702368238    52933.7449577570878319          0        407        283        258        271          0          0        0.0000000000000000 3094.1324776098635994 2603.0337828113406431 2413.9911786659431527 1880.9992425485461354 457.2983395527674020 -724.3383986793919576 -1087.1966747162791762 154.8283922705042244 2025.1960476643334914 1768.1419627743807723 3488.5341409287293573 4051.4077003081520161
   -1674.3240365933636440      322.0379728658481326      171.4910849603946588    12515.5252516587879654          0        421        262        285        290          0          0        0.0000000000000000 1242.2898787102205915 1124.6707851575006316 1588.6298929583495010 1250.6900774838761663 435.6031107886719269 900.0777392087408089 477.5875345015444964 588.9436926914679589 521.9986429927823792 1475.1225982927303448 993.8781302083477840 1586.5453989675704634
   -1683.1908525988353631      351.3863495126682892      248.4843107986046675    12022.6570917156986980          0        414        282        262        283          0          0        0.0000000000000000 2167.5206775829356047 2169.6126367468446006 1703.1048381675318524 1992.3657584427382972 2711.2942410749387818 1252.5392080939095649 978.9016111571597776 899.6278077405901286 878.3749614813932567 1276.2111599989279966 956.3682702899125161 2132.4647261552449891
   -1646.2445610678926187      345.8054882386852569       57.3328209870800549     8437.2606047467070312          0        436        308        288        276          0          0        0.0000000000000000 1026.8551936241808562 1031.7463271324909329 938.9618616835753073 695.4750823292052928 717.7374684847601429 680.9518735426375997 973.0858055269995930 790.5887230883167831 760.0027196924297641 875.0996868928895083 1507.0403393893320754 494.8381483859288892
   -1754.9673108374915955      528.4864446767576283      174.4635585185066020     5275.1695167599409615          0        391        256        258        268          0          0        0.0000000000000000 2764.4644966168079918 2811.8904508200726013 2050.1146944614702079 1126.4283830949248113 1703.0895439993389573 1127.6896625322224281 2548.0190095935249701 1986.9014919625253697 1696.8816073041416530 1968.5229949071558622 1433.9262203338621475 2863.0914069945470146
   -1939.1987241930335131      640.2833364094341277      177.5986119975567306    24497.8195915339711064          0        351        238        235        227          0          0        0.0000000000000000 2041.0089583672945537 2219.4298062270154333 2566.6357470579064284 3613.3057069803112427 3378.9054078109766124 3158.0947345640342974 2357.8343419432972041 2688.5186286351286071 2035.2504591112785874 1050.3622010712294923 2265.2215823115770945 2241.6880253417321001
   -1788.5357006581941732      203.5203270477515218     -223.8181498418534261   104223.0336217717849649          0        398        261        286        247          0          0        0.0000000000000000 2280.5816291276214542 104.1730954637287709 -601.8174065278201397 -265.2883905696969578 -924.6212771972070641 783.6846201492253385 1022.6077565002940446 1273.0723774476223298 1390.6418210125627866 2660.6838412065599186 3779.2472044101659776 2570.9605032564827525
   -1809.8298917511044692      112.4289822998211719     -511.3562299223653440     2613.4128003332953085          0        388        259        272        244          0          0        0.0000000000000000 2487.4298730402560977 3239.2891738009393521 1823.3023136422136758 1793.0664553645815431 2154.3958218108159599 1381.6892886737159643 1092.6166336907144796 2787.0104285287652601 2085.5512420380769072 1690.0775775654503832 2258.5948906456446821 2279.6847671098216779
   -1562.7062239678605238      237.7623287180005036     -200.3680079669323959    12026.3973981665476458          0        462        304        306        311          0          0        0.0000000000000000 897.0189802352788320 82.0577837112093107 264.9026375488456324 205.6438052286164861 114.2443564260897659 596.7823207890032791 377.6916303968701527 867.2855656641493169 534.0582108731060771 537.2494837466764466 491.8026037799931487 672.5541629089905200
   -1795.3390202635880541      283.1359284677403707     -296.5392836086373336    11769.8229734079668560          0        408        284        278        251          0          0        0.0000000000000000 3239.7085240851652088 843.0461697695245675 2016.9216759274040669 1912.3290277093383338 1725.8685736494203411 2016.7844361121235579 1565.9320037712732301 1488.3597708480604069 1775.5232558627960771 2097.4539540756809402 1032.8096177693537356 2776.7260777289120597
   -1727.3113851067555515      446.6532431560505074      -70.8647624763605535    12527.9440585854517849          0        397        267        278        248          0          0        0.0000000000000000 2144.4445078407279652 2331.5212258241390373 2313.0612073589577449 2163.2611761889061199 2256.3581023945766901 2060.5895519316509308 2280.8763336180463739 702.8204532878421560 832.4024305785203524 684.0449452879106502 1366.0596339871840428 1652.3028493044503193
   -1932.6003209205171061      553.1338967307497114      303.9746723297550375    21295.2969216949022666          0        325        226        208        212          0          0        0.0000000000000000 4025.2498787616536902 3113.0949225723497875 2017.4584116217772589 2740.0690495158364683 1912.8487666220362371 3619.9628172982602337 3453.9820586510118119 2059.7540316624622392 1676.1037805492328516 3463.8420350020423939 4518.2006301376995907 4585.8934701227608457
