                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
   -4818.6382877817659391     1619.9659052449799219     -314.5900543852943656        0.0000000000000000          0        708        449        483        478          0          0        0.0000000000000000 16250.3819804319409741 15353.8837491964259243 14639.3230503814284020 11550.3110054751668940 11567.0185971988903475 14912.7218901594842464 15494.5317351644043811 14789.8482810773639358 13150.9865252979980141 11139.8208428282687237 11429.6705650899111788 10471.0711127250651771 8950.1696173050459038 9816.3292573274138704 13976.5465219170382625 16019.3806679274421185
   -4975.1667027265866636     1831.8136143490823997      171.3670530795368450        0.0000000000000000          0        704        466        490        452          0          0        0.0000000000000000 14027.3781129700364545 16017.9718092113744206 15720.2878453967005044 14885.1064670261966967 15991.5270422825597052 12689.9524962936484371 16354.0049321075075568 16761.4379096474440303 13728.6587299301336316 13773.0446880538347614 8287.8975049371438217 13441.9740779614658095 13182.1366059020165267 12265.5738065605855809 11495.6492463316044450 9129.9021790298829728
   -4929.6439201379416772     1608.6716488481170018     -630.7966896882994661        0.0000000000000000          0        680        448        456        452          0          0        0.0000000000000000 8846.1977762732585688 11042.1354814274382079 9184.5097387137593614 8304.1039418893869879 7011.2901138927663851 6318.4443255422702350 8228.5155201337202016 8525.6567691222790017 8921.1077514588923805 8923.5237570326899004 13287.4377746249174379 11357.5786446565161896 11778.0108345793087210 9424.4560584457303776 6620.7365015071200105 6913.9789893239358207
   -4886.3178148872184465     1239.8286229528835065    -1055.6968220172923338        0.0000000000000000          0        739        495        490        489          0          0        0.0000000000000000 15426.3793944090848527 13637.3456089130413602 12091.2159991034350242 9604.5622930218505644 4909.5438708988140206 7934.8071263055007876 10902.0238299799166271 14077.2282490768775460 10426.9192461930269928 13330.6459280508024676 15871.2813552102234098 16621.0018871952415793 15158.5729500241614005 13671.2408130382973468 11611.1753668164019473 14281.7514182392860675
   -4858.9928140753536354     1716.3981512058155658     -356.1784197568076138        0.0000000000000000          0        749        485        507        504          0          0        0.0000000000000000 19431.7397584425743844 16961.3507988544879481 18761.2287999901891453 16943.9597782423988974 15293.2975594821709819 14697.0577499013579654 11061.5443105872982414 11136.0660573973455030 14314.8104870239458251 11941.6486618052549602 11854.8580060347921972 10153.7715317499387311 14327.2343616657581151 16855.5778940323252755 19821.5958361122684437 20057.6066333688540908
   -4858.7556575973676445     1667.5141532014440600     -329.7487565942501533        0.0000000000000000          0        745        486        488        515          0          0        0.0000000000000000 10823.2805432808709156 9884.9878491266226774 11953.3949668673740234 11767.0008034053535084 8440.2526084214332514 10543.3686864855444583 8713.4537148319050175 11907.9658840141637484 12473.3881075468889321 11697.9013801331693685 11754.5445834142410604 11861.4088511922582256 13796.0119471822235937 13321.4793648617051076 9984.2665413127633656 7294.5750268534056886
   -4720.3772883273150001     1608.4375620613493538       92.9369804041384810        0.0000000000000000          0        760        521        500        496          0          0        0.0000000000000000 9010.4697166344776633 10582.0280755916428461 9519.4792047190658195 10772.7659256379247381 10706.4361553998860472 9962.6191073059781047 9915.7699817560605879 12304.2033661094392301 9693.4294391655366780 8297.3724566508753924 6170.3332468750504631 5622.6919826892326455 8248.7362585383907572 11108.9288857507963257 9522.2144296069127449 7659.0586911928112386
   -5146.2663461371921585     1536.0919525126137160     1118.0070164001292596        0.0000000000000000          0        648        445        421        428          0          0        0.0000000000000000 20399.7040774775123282 15464.3391611336319329 15583.8154873659332225 12266.0407477258395375 10219.1005965740532702 12504.0912924320000457 13090.7818404133104195 17081.0826530547492439 18839.7206520671970793 18454.0782225668917818 16109.9799588189853239 16834.3058139139284322 17412.0649401315531577 17781.1990161161120341 15831.4680008640661981 19560.0524976287852041
   -4754.5775758786176084     1346.8410277877392218      892.0967633252573705        0.0000000000000000          0        766        506        499        526          0          0        0.0000000000000000 12418.7126526759711851 8964.9058174636520562 10050.4790581552788353 11628.6888044612533122 10744.5859337367328408 11963.8557925080931454 11519.8109760390525480 10387.1880883831745450 9664.7140409567145980 9300.4756023209956766 11443.4164279444812564 12329.2110707291503786 12566.6986720884815441 10461.8336996122598066 11039.8231218327127863 12131.0299884729411133
   -5130.8618455028163226     1527.6359920581246570      999.5528217666792443        0.0000000000000000          0        658        425        458        432          0          0        0.0000000000000000 14200.1880902185912419 15102.6592535663330636 15091.3820225334147835 13695.6053547596147837 12320.2999550532294961 12966.0739747889638238 11031.6249861864453123 9530.1225260614264698 10569.9771835729734448 10521.4826245570184255 11498.1476302710270829 14246.6261720768779924 15433.2685586492534640 16211.3620865033626615 14045.3116881306414143 15434.3444124192501477
