                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
    -818.8916836146655669      340.2496149694620158       51.2682957508507471        0.0000000000000000          0         40         24         30         26          0          0        0.0000000000000000 2369.4171803882059066 1816.7330162403425220 1966.6192466463862729 2238.9809151743074835 2209.8741690879833186 2204.9395199051491545 1610.0280806389907866 2185.0839645340624884
    -912.4968282988830879      340.6333691100635406      -69.9662899242924539        0.0000000000000000          0         24         20          9         18          0          0        0.0000000000000000 1389.1373687114080440 1749.0708767074449952 1803.2253359027158695 1307.0498272773943427 1619.2281192228538202 1634.0993869848273334 1661.5319860004267412 1426.0794816245493166
    -837.8761557764784129      275.1916605625976899     -162.8851180717959437        0.0000000000000000          0         26         12         20         18          0          0        0.0000000000000000 1446.3772422250267482 828.9592833506483203 1450.8272806458719515 1726.9678041541362745 1521.5298396333223536 1569.4579017764028777 1351.7374606841387958 1519.7309246262434499
    -815.6651762767829723      195.4029684410693619     -239.2438370454572123        0.0000000000000000          0         37         23         21         25          0          0        0.0000000000000000 1398.7802678683435715 1221.5001465466580157 1522.4650935135200598 1474.0771993327723521 1692.0342689247731869 1546.4492590327517973 1168.5350863944954654 1453.1504757386610436
    -705.1595226820639937      266.3375248382364475      -87.7225487651392939        0.0000000000000000          0         64         44         42         40          0          0        0.0000000000000000 904.5596974891278705 977.3052402405789962 1015.0191811106521982 1130.9931691067386055 969.4059724291334987 919.5300487643133920 1245.5464319378327218 965.7167588693235984
    -794.5542432682409526      280.7121373976391396      112.8799531532935703        0.0000000000000000          0         47         27         33         32          0          0        0.0000000000000000 1871.3350269272821151 1718.6821690076917548 1820.6145258593080598 1969.5128229254059988 1416.2933642465320645 905.6627248219031117 1662.6185977897036992 1698.6691402310111698
    -736.1719532139585453      204.0542226482498052      216.2590171938571757        0.0000000000000000          0         36         22         24         26          0          0        0.0000000000000000 1241.7286722595042647 1336.3667387871309984 1398.3461400708979454 1482.5208385815546990 1525.4634661779737144 1335.6897258025589963 1219.6273782421767464 878.7140579470315060
    -724.6793634826594825      263.6479563520924785      171.3824910269505608        0.0000000000000000          0         73         54         42         50          0          0        0.0000000000000000 1570.9373593590680684 1406.8102093906923074 1665.6348282769306479 1709.9044469775540165 1600.2233814934620568 1395.9275949726495583 1312.4682553170994197 1791.1302744000379334
    -757.4481940315507700      281.3113030360428866      -65.3489840673983622        0.0000000000000000          0         50         33         30         33          0          0        0.0000000000000000 1707.5662091179581239 1328.8835101892650528 1098.8153956907560769 1136.6119687422547031 1697.3022417008567118 1258.0298309692032035 1788.0004536125741197 1899.2914152542009560
    -765.3428707866416971      204.5921731593774098     -238.7716443618444373        0.0000000000000000          0         47         34         34         26          0          0        0.0000000000000000 1835.1192630902232850 1866.8522093269516517 1883.0394178049234597 1808.0516920053212289 1808.8769179219868874 1312.0150649162490026 1081.6929758149808549 1314.9699007527883623
    -793.9250730700978238      275.7303198241639279     -164.7800071332247001        0.0000000000000000          0         54         28         38         42          0          0        0.0000000000000000 2523.1733105362286551 2174.2597215075470558 1907.7726683513919852 2161.8423108674573996 1735.2282927156829828 1205.9901726109555966 1620.3754665645305977 2295.7641681596014678
    -751.0706035834464274      281.9092294377489907     -167.4924191673042344        0.0000000000000000          0         35         24         28         17          0          0        0.0000000000000000 1611.1622255025458799 1393.6612043088141490 1764.0376068280720574 1690.4922026534520683 1656.2835962181243303 1356.6126927300988427 1718.5863711413001056 1692.8073627741364362
    -742.1661179315507297      236.5548684702761477     -172.9946369574666676        0.0000000000000000          0         61         36         40         45          0          0        0.0000000000000000 1580.4186264442660104 1453.1203130014346243 1416.0694421817397597 1412.7198636283906126 1611.3047676443754881 1667.9231775784930960 1193.1873682071000076 1303.2251130106856181
    -886.3272206248915381      111.3995921281836701      320.9012320509596634        0.0000000000000000          0         28         17         25         12          0          0        0.0000000000000000 1766.7878865412776577 1975.1855384983086878 2053.0153322872861281 1318.7781671626239586 1814.2090434844426454 1734.9735750374754844 1846.9470549019833925 1759.0214650173716109
    -796.9318601115791125      243.1323993896344575      213.6526745679837802        0.0000000000000000          0         52         36         29         36          0          0        0.0000000000000000 1178.6712282931109712 1452.2562251984418253 1577.6398997245257760 1411.2029768899233204 1063.1991821717299445 1236.1090172851172611 1425.9676672910104571 1293.9781782063394076
    -724.1932678880408503      281.1803062460309093      123.7736324035886923        0.0000000000000000          0         61         48         46         27          0          0        0.0000000000000000 1691.4252994547496201 1723.1774184636799419 1004.0529016695692235 1558.1934005266525674 1373.4060197313071967 1519.0263432061599360 1884.6852356707606759 1863.8159350010832895
    -798.5630137258717696      274.0882421296776101      152.7476889478697899        0.0000000000000000          0         35         18         24         28          0          0        0.0000000000000000 1973.0361596598377218 1522.8149056958081928 1427.4120654653759175 1633.3410164338238246 1668.0115401517141436 2004.3090819605449724 1737.4987539477351675 1777.1719278060152192
    -660.2731165979190564      206.1390895166625796     -113.6242885776936902        0.0000000000000000          0         88         51         50         70          0          0        0.0000000000000000 1359.6840349164349391 1304.7343476043106421 919.0576324838413029 893.0508753680026075 1034.5612085476295761 1040.7466706289435479 984.2656121931809139 1072.8454375374458323
    -739.6623151824127262      197.0349634672565742     -184.1757861200158573        0.0000000000000000          0         66         39         44         47          0          0        0.0000000000000000 1243.2931761297356843 979.8322270950245638 700.8956582525293015 702.7014386208427368 661.8466464320155183 903.9741460666002695 1389.2248192818851749 1517.5395949691928763
    -822.5753637881293798      106.0721994240015675     -287.2431867666037988        0.0000000000000000          0         52         37         36         30          0          0        0.0000000000000000 2466.7405959986922426 2142.1280019601827007 1205.7773024465207072 1381.7920933891691675 2248.6331622212160255 2040.4835785029024464 1656.9246809087658221 2060.9588615421012037
    -814.5049870256250415     -211.6231354638709945     -224.4939021247373319        0.0000000000000000          0         49         34         34         29          0          0        0.0000000000000000 794.8556400653376386 847.1562123130138389 1063.6335690873243038 1030.6848148417095672 1265.8319946068829722 1171.1131107402584348 1419.3156693258749783 1066.0713934097063884
