                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
    -964.8364463406536515     -264.8884962116404154     -255.3072656488830887        0.0000000000000000          0         12          7          8          8          0          0        0.0000000000000000 2519.9382654491573703 2073.6024622799404824 2369.2366458526221322 2436.1457549920069141 2218.9578607209004986 1983.4862685558175599 2415.0256223781625522 2406.1756581328022548
   -1000.1163080188684944     -260.1473909713045600     -279.6360111053066362        0.0000000000000000          0         11          6          6          8          0          0        0.0000000000000000 2317.3515590615143083 2503.2211261012098475 2187.6622935241775849 2119.7875138268518640 2213.5495743242881872 1803.8133601936960986 2117.1775192030459039 2308.6504714330876595
    -915.3978426465929488     -158.5568814926957089     -324.3828037823807904        0.0000000000000000          0         19         14          7         16          0          0        0.0000000000000000 2009.6215679529200315 2120.3721669661968008 2164.1404915341054220 1937.2317663054166132 2202.8914307555505729 2213.0720962620703176 1845.7751767268239291 1660.1987574901233984
    -957.6840765958888824     -125.2013776621732433     -333.5305134654975063        0.0000000000000000          0         17         14         12          8          0          0        0.0000000000000000 2178.0456441880983220 1973.2098018631404557 1991.3522780931275520 2197.4292926745042678 1935.4486575170685683 2268.5195251920008559 2109.3301661354171301 1909.7025185225254518
    -974.5960676319804179     -194.5133229757283004     -323.1177799399187620        0.0000000000000000          0         23         16         14         16          0          0        0.0000000000000000 2332.4925851383768531 2339.4641753973551204 2009.0718088513594921 1778.4398649260483580 2243.9596115407966863 2096.5221903660112730 2312.4199588957303604 2391.7809936682942862
    -961.9859723941729044     -290.0016973892695091     -235.2153754539773161        0.0000000000000000          0         13          8         10          8          0          0        0.0000000000000000 2219.5761186495979018 2530.0385606615195684 2231.4677641851185399 2042.9585599342053683 2039.2354171512793073 2021.8152072606944785 2370.0113191188384008 2000.8905057547808610
    -915.3343423045904501     -340.0277633680751137      -72.3736428482507677        0.0000000000000000          0         29         22         16         19          0          0        0.0000000000000000 1803.1711046888920009 2057.5818970103291576 2028.6129875666470070 1553.8253257698368088 1288.5450232851860619 1328.5336246980552914 1510.5231839469829538 2036.8295499215828386
    -992.8794205335184415     -218.9507137503477452      320.6936814910531552        0.0000000000000000          0          6          2          6          4          0          0        0.0000000000000000 2483.4143054154365018 2393.9365030326462147 2593.6870747833709174 2165.1854444786758904 2269.0135882284339459 2394.8677961311150284 2509.3389439736961322 2489.7161131722605205
    -996.4425661120864106     -215.4938829477102615      303.2305786149923392        0.0000000000000000          0         14          9          5         11          0          0        0.0000000000000000 2515.0951155209631906 1925.2136784348604124 2131.2605322289500691 2223.0590166722404319 1725.7683428157160961 1871.8957045138436115 2417.9270642174014938 2315.6148485357398386
    -928.3222788693373104     -135.0667267233321809      345.5230504267150309        0.0000000000000000          0         15         14          9          4          0          0        0.0000000000000000 2054.1376903776317704 2105.8108128669869075 1939.6976059885537325 1955.8894618724054908 2194.7237234245258151 1979.4929221356146627 2382.2933360214819913 1929.5274783750501228
