                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
    -373.9760476614773665      -41.9545732501226141      -20.6872447283166387        0.0000000000000000          0        164        105        112        110          0          0        0.0000000000000000 188.4530245491654625 68.2029505376663394 .0508419257242636 140.8160098700047911 -11.4573356238417556 90.2408940724768769 -84.5037538431702870 157.4940085635101639
    -293.7780836761676255       51.2295826844362878       33.0830665949390550        0.0000000000000000          0        187        138        128        108          0          0        0.0000000000000000 712.5792009046433577 134.5619544695016430 180.0556934571347938 319.7693058257357279 221.3891759133467758 17.9518420719906047 -90.0201354972490293 111.6973283534474035
    -336.4386956897025698       57.2013709513024651        9.7854478408070680        0.0000000000000000          0        177        118        122        109          0          0        0.0000000000000000 313.4990745214969365 194.6279506921445943 73.9596067575689631 260.4725153343595707 -16.8813935220925231 -17.7842843401001041 52.3301847600677235 92.1065944879351406
    -347.0115606604678078      -17.4490812634301022       11.4853498780205552        0.0000000000000000          0        174        116        126        105          0          0        0.0000000000000000 28.7629026891331527 -18.6065363285600824 18.6375018462085364 13.0653653195665367 -62.2660446200949735 7.8355869065014359 -40.7119838463926129 18.0526275062945736
    -368.8110866022416303      -22.7298597407897276      -22.4551422266828382        0.0000000000000000          0        170        110        114        114          0          0        0.0000000000000000 68.1520479770052248 151.7289206642406327 15.0538741246588437 81.7669358721972799 -64.7575009512781889 -66.0713586326105968 -7.5771975653560659 81.8854711228446490
    -387.9513336842021545       16.8342503619036208       24.2987976027577197        0.0000000000000000          0        155        101        104        103          0          0        0.0000000000000000 141.5979287827852033 9.4141070944031569 -216.8546162607753161 -123.1869569737500143 44.3237482513749370 112.0486450156348752 253.3985345075845430 27.7717021061415394
    -354.9907899485945109      -78.8468189947090394       -2.1157818292268695        0.0000000000000000          0        160        116        102        101          0          0        0.0000000000000000 461.7510358425739128 554.8232489018198521 267.5006603856932657 -86.3133515578608694 17.7178110454770454 82.4134673529754451 152.0397073670788757 244.7227261320217337
    -325.7227284932882867       23.6978259445809663       43.9970638113894807        0.0000000000000000          0        158        110        104        102          0          0        0.0000000000000000 126.9798430120449950 130.1028400730030228 85.0468714466606457 -86.0341613199070281 87.6759591655299602 68.1348534587358756 37.3310195154328426 -58.0054002985224244
    -315.9816776358758830       45.9852554876391295      -13.5966500063958566        0.0000000000000000          0        170        122        114        104          0          0        0.0000000000000000 7.8895921370374342 20.2281777122864028 -10.3098730191499932 15.8856598336200889 33.0824759444643846 -21.4142630044866102 46.3419341403469645 42.6758712840928141
    -389.0001244476937359      -44.6687080047548122      -29.0661891902660976        0.0000000000000000          0        176        119        124        108          0          0        0.0000000000000000 252.9626381316240895 -106.8267245404983186 82.9460306146462329 44.5918154302016134 -136.8877498614740773 99.5859066731892852 39.6349061058919787 106.5895441738376377
    -313.4212013396559655       21.2182559083449220      -35.5934304384707048        0.0000000000000000          0        190        129        115        134          0          0        0.0000000000000000 223.9039964003246723 81.0415071660289641 66.3631183071534139 24.6357991768908136 -53.0432810691207166 3.7195525450015907 276.0931869784069477 -49.4400168117183014
    -424.5797472879796715      -17.8384258983278841       43.5724572825196645        0.0000000000000000          0        152         99         92        108          0          0        0.0000000000000000 41.9149399266571692 -101.5473227155596447 -44.2402013607732982 -35.3035021311175399 -123.3181793421537691 -41.3524778894809444 -49.4887546356827031 55.9013598237772840
    -388.5944718511251494      -34.0885831912924786     -109.2555288623382381        0.0000000000000000          0        152        110        104         89          0          0        0.0000000000000000 1067.6307889850963875 206.7337013310311420 421.7557686723292818 739.3439830268241622 63.9640708298212388 -95.1324823484547721 310.3707838545793720 788.3987417158974722
    -351.8964736074689768      136.3738692867542284       19.5323528269131081        0.0000000000000000          0        167        118        108        106          0          0        0.0000000000000000 1216.9334846290601035 742.1769377384018753 693.5214744999127561 296.5452483240396759 201.2045183506446620 562.7761082875707643 598.0432389811774101 245.2799424102640842
