                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
   -9249.5309208813796431     2807.4718837167310994    -1812.3299214117171232        0.0000000000000000          0         11          8          6          6          0          0        0.0000000000000000 42647.9445005212037358 41128.1961907240474829 42926.9854266176698729 43527.3157277353457175 42385.2918714735133108 42937.5114942450600211 44495.0011865495907841 42656.6782838267681655 44766.5930078839155613 43983.0456708171404898 43697.4503323056342197 43150.2227898416967946 43105.3041355352470418 43851.1364637925289571 42936.7212901200837223 41833.0111439917091047
   -9317.5638970595846331     3013.4360310729775847    -1491.6870062364869227        0.0000000000000000          0          7          4          4          6          0          0        0.0000000000000000 46071.2219072493899148 46396.5763676157002919 45453.0997559801617172 46181.1811704045103397 42961.3647854073642520 43618.4712311175098876 44274.9570918594836257 44682.1646632986012264 46012.6017679134092759 45878.1890738028159831 45286.6122938965418143 44920.5976452733157203 45092.8479682503457298 44060.5814616681454936 44379.3331892828573473 45028.1230581350391731
   -9292.2623315982400527     2984.7863638769858881    -1512.0552967094902215        0.0000000000000000          0         15         10          9          9          0          0        0.0000000000000000 45063.5618393280601595 45979.5567025559939793 43343.6456827273141243 43475.7359070008242270 44018.0342476459991303 44235.7046896179817850 45894.2095518052010448 44845.3831432343067718 44550.4042309426222346 43550.3909441947762389 44558.7947722649041680 42460.4722189066742430 44617.3150914765137713 44481.3588471601324272 43482.2128921760086087 45325.2505337228067219
   -9199.7274665871937032     3140.5665515349605812    -1171.9330015160064704        0.0000000000000000          0         23         16         16         14          0          0        0.0000000000000000 42420.0926879616454244 44036.9544545880562509 42641.2564748475924716 42735.1332701210703817 41554.7585705043602502 44435.8672174169041682 43709.1445310569542926 41920.1500539425469469 42165.8910678642205312 43481.5571419935513404 44286.8533233634880162 42968.2855868283731979 42543.8822656124684727 43666.8397819488454843 43163.2032534435275011 42457.6602613111244864
   -9159.4789648712612689     3273.8555453839380789     -683.3751051681532545        0.0000000000000000          0         13         12         10          4          0          0        0.0000000000000000 43569.9047238866914995 44609.5934936391640804 43989.9800681039560004 42809.4579632790337200 43642.8309711661204346 43500.7735369826186798 43949.8267367637818097 43744.0927363929804415 42418.4204199134110240 42657.6775518521317281 43443.1422475036815740 42244.8733319435486919 44687.8383018250606256 43868.2310746598013793 45000.9827842706363299 43740.5215294234876637
   -9311.2925407667862601     3235.2193309760323245    -1024.0930557022247740        0.0000000000000000          0         12          4         10         10          0          0        0.0000000000000000 43682.0285969754404505 45270.3381334781224723 44432.3390404472156661 43664.6812478533829562 45185.1025780095005757 45005.7516745697066654 44170.9628456214268226 44565.6538009155992768 45192.9035840951619321 44302.8262272824213142 43018.6187762043773546 44263.2712371979432646 43616.0484205617685802 41951.1868279269183404 43353.2327147277537733 44085.5068240732725826
   -9309.4732285258614866     3133.7819773264227479    -1199.4536909112309786        0.0000000000000000          0         18         13          9         11          0          0        0.0000000000000000 45576.3466405192302773 45309.9106019529135665 47229.4478296182933263 44521.9838098112813896 44268.0257696319458773 45707.5211058659333503 43524.1081634636939270 43651.2076050684190704 45248.7439876502467087 43360.4428815090504941 45741.1504574352147756 44549.3458998352507479 44110.7384581245714799 42299.9933154479003861 45157.7240713393111946 44036.6378360468370374
   -9379.2390888660556811     2834.8107394028788804    -1768.2032699966223390        0.0000000000000000          0         12         12         10          2          0          0        0.0000000000000000 48652.4449242347400286 46559.8184519032947719 44594.4898477254464524 44041.2225409785896773 45925.6295026546140434 42638.5000864738394739 41819.1861509221707820 42185.7465823460152023 46237.1449885249749059 45935.2333581602433696 45688.2580015824350994 47342.6276517578153289 46153.3007042042881949 45795.9273001825131360 45049.8844354742759606 48300.1635793155728607
   -9241.7171743933195103     3112.8089248654241601    -1195.1768436393349475        0.0000000000000000          0         19         10         12         16          0          0        0.0000000000000000 47016.0774545508393203 45606.1706759629378212 44500.6946384078109986 45912.1604802850779379 45136.7286357510311063 43987.4533320732443826 44367.7909155493252911 44984.2230155811703298 44123.4212874958757311 42341.7855702437009313 46108.1868720744096208 46771.5418734387058066 45560.3550438092643162 45119.5648094886928448 45207.4694840959418798 45732.1511554635508219
   -9135.8461127077680430     2976.5398736497922982    -1481.4942979268516865        0.0000000000000000          0         27         16         20         16          0          0        0.0000000000000000 45381.2938600363631849 45192.0668807803958771 45544.2988334560723160 44433.0817617374414112 45274.2721209999581333 43147.3349385304900352 43189.8302766536216950 42269.5950887718645390 44507.7371395602531265 44841.6290637639613124 44238.1898859698267188 46317.9648272226404515 43497.6953249001235235 44510.3160361525879125 40768.6463337960594799 44359.9082485907492810
   -9304.9649657198770001     3167.8970628614952147    -1201.1469279064706370        0.0000000000000000          0          6          0          6          6          0          0        0.0000000000000000 47541.4444554163928842 45550.7590066159100388 46498.6995390040610800 44390.0897702352958731 45466.1320438577604364 45320.9139434470853303 44583.4457849041573354 45302.9174248621857259 47383.7870636803490925 45953.9748149413862848 46693.9938856794178719 45888.4693034534793696 45747.2176925735548139 46360.5055924452972249 46069.2838483119703596 46897.6116183059566538
   -9153.4929689456184860     3096.9730180959645622    -1226.5130718776119920        0.0000000000000000          0         21         20         12         10          0          0        0.0000000000000000 41488.6737955946664442 42276.8523398960387567 42903.5531181810292765 42588.8239215664871153 40003.7959248662809841 43121.5034970156120835 41904.6862921530773747 42451.8722148779925192 42665.8614772259606980 41966.2743265383542166 42746.0940123166947160 42779.1238795816825586 42307.7880334573565051 42436.8444183160972898 43229.0445011725823861 42988.5638640351535287
