                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
   -3740.3361246677627605      692.5107924197776583     -494.3144446402425842        0.0000000000000000          0       1100        735        750        713          0          0        0.0000000000000000 1189.7333761825389047 2359.8495557775258931 1601.3474518097857526 2915.5472169724189371 2193.2333275876926564 2349.9676323687153854 1534.7203748813817583 944.2813789266861022 1448.8406554246187170 683.3688209329089887 1544.0887591733821864 833.8020089821515057 1429.0233809198332438 1679.7032341200072096 1010.7279697654214488 833.1053030174251717
   -3497.7948852386616636      132.9877653140239033      226.0143871815325554        0.0000000000000000          0       1148        745        776        770          0          0        0.0000000000000000 829.3496543931381666 134.8799956066173706 933.3799562510325813 -238.1335633929988091 411.3994699067631018 295.4931438090838469 -513.2454847227243135 -134.6515470065262150 -485.0194093098093617 840.7716333115862426 1176.7080694517794655 978.2813887856302699 1120.9325930234929274 979.3445642888709699 200.7111045674699312 855.9888580249423740
   -3803.5322798707534275      332.8633813348771469      -67.5604722457865705        0.0000000000000000          0       1068        708        690        737          0          0        0.0000000000000000 707.2851861988067412 903.4917314853979633 1161.0972399001516351 1281.5717152823692686 1490.3555915913020726 1190.9330516608033577 -206.3772560023641063 -216.7708093852943421 -522.0147192358273287 -1051.0968998553414622 -789.3609033188799913 210.1260963564484427 1195.3836397810198378 863.7172791440212904 1124.5855617179204273 561.2644730551681960
   -3726.6976215536419659      418.3928047565516977      230.0110506263737022        0.0000000000000000          0       1087        720        738        708          0          0        0.0000000000000000 852.4758008385714447 499.7866403082780380 -470.1859491128180935 -1312.2823227308279002 -1324.6043589478219928 -553.7324405216229479 -1244.6037935765705242 -1889.5335640993255311 -1451.1642668387275990 -966.0290256796981794 -513.8012181225611812 -320.4024023951394042 -119.1046653298955533 -225.5403001369364802 -230.3599175805286450 652.2546468843268030
   -3695.4180086294786634      321.5953859566449182      551.0106677305296898        0.0000000000000000          0       1052        693        714        695          0          0        0.0000000000000000 5634.4895155486292424 4010.2665874908670958 2208.2473158149064147 -929.6292362723041833 -555.7368015115397384 -758.3399267736962202 1085.5900978780327932 3734.1567551540638306 2166.4951916766704016 2962.1999175304208620 3363.6107690662720415 1337.2423604375330797 3694.1991642797747772 3040.2692315138260710 6590.2119285138687701 7564.7332364704343490
   -3899.0761338785332555     -682.5556135747241342      179.0278298454184664        0.0000000000000000          0       1047        673        737        679          0          0        0.0000000000000000 1825.9213178133404654 2134.8548023692528659 1473.5344032806638097 1498.9423807208520429 2197.7189025838370071 3277.4183643059109272 2265.2343226869929822 2003.5729638268144299 2692.4726176246003888 1449.7587205959025596 1679.2229557411417318 987.0881079934256377 775.5214428184601729 903.8638269200158675 980.6594477074274891 1086.3185679767479996
   -3871.2875416853589741      -92.0456263096910021      241.8271094627037883        0.0000000000000000          0       1053        692        704        709          0          0        0.0000000000000000 2233.1971897920366246 2875.4127957088080620 1409.6806707225364335 1059.6157854636353477 -1754.4291520961396600 -1607.2221782458848338 -949.9354580901856480 12.6589929632842768 583.9896585469125512 709.7554879919166524 -480.9168650200068669 123.1008358732191255 -819.4875390914957052 -593.8925076302463140 -1565.1101953361740016 -1040.6318956105833422
   -3551.8899138033739291     -297.0297489090918930      363.5552059823933746        0.0000000000000000          0       1174        812        788        746          0          0        0.0000000000000000 2195.1510480951174031 3058.7170862461089200 3264.8759431264816158 1493.7030723902312275 2457.9728137392085046 2875.2727965234380463 2438.8488603426476402 -60.2120604349685635 530.5025185425065501 -728.0671057693733701 -930.3123578817455837 346.8014777359153413 322.6288180787431088 18.0085227079316610 623.8719853116014065 1991.1755192072100726
   -3876.5677684855172629     -603.7914847204846183     -279.8942573569328260        0.0000000000000000          0       1065        697        729        698          0          0        0.0000000000000000 89.7275440066053704 229.7841458681998006 687.9074888616922863 287.6363411974248265 620.8765266308683977 594.8190483935012480 345.1138333022619804 350.6448902063407900 425.3607267153697080 529.3316060535022416 257.2103545745135307 170.9537732007938473 203.1211782277314626 156.4045290531950627 335.4238001531678037 103.8981168965691353
   -3619.0872607110454737     -286.5371769108034528     -369.5422889524573407        0.0000000000000000          0       1122        757        734        751          0          0        0.0000000000000000 524.3954939616324964 -120.6047263328923407 367.7105980039034989 -394.2640837698325527 700.4256457578496793 -299.5433114733874618 -737.5290237750056122 584.7689522751180675 788.5700200985934316 793.8719317024507518 777.5282637365326082 979.6274127044212037 997.7468511173284469 2301.9481058440082961 1988.8330158554449554 1454.7286413890460608
   -3722.9388576952114818     -492.9491670590325612      197.1828619678578889        0.0000000000000000          0       1132        768        750        742          0          0        0.0000000000000000 1898.4496093544530595 3024.0222524170849283 3613.2490624128536183 2575.1260749008515631 1977.2603911780970520 1667.4622599905555944 1251.0009426687504401 -208.9831194509483225 -1840.4227277001064067 -1252.8442132593004317 -648.5573607069077298 1.9108231455199616 962.8241616792205377 2927.4136467192661257 2320.3969253141549416 2475.3919425091935409
   -3673.6767679651893559     -796.8068285075377162      626.1758648470321305        0.0000000000000000          0       1071        701        731        705          0          0        0.0000000000000000 6294.2739787449500000 8472.3796337792955455 6601.8949346305180370 4006.4413945360702201 3905.8324245512353627 4318.0676336811511646 4129.4713701258569927 2160.1368268625315068 2827.1930929121431291 3058.0018418267954985 1488.0528386384776240 3823.5212228075365601 4564.1344921041445559 4962.6961652169757144 5648.9785183060866984 5019.6879730606524390
   -3654.2719935011332382     -393.6353548667223663     -418.3157466777565787        0.0000000000000000          0       1147        783        756        752          0          0        0.0000000000000000 564.0102075919926392 -129.1279992934079246 -519.0813121299815975 157.1217578097801493 153.6400191021173214 117.1857028591249446 -495.1542110048161476 -831.1772867669678817 237.5365643377809874 174.3402571938097481 -5.4743607777844545 -77.9726103957037822 324.3072801064196824 232.2186284455613645 241.6218935642789916 676.3729171126841493
   -3916.7775647779021710     -360.1598729544496109     -763.0904443875820107        0.0000000000000000          0       1007        689        652        672          0          0        0.0000000000000000 2349.1236128670589096 2083.3208646410330402 2791.7670844588155887 2429.2791163453298395 3433.4479885358723550 3076.5840309302038804 2504.2538151227240633 2260.1238580189574350 806.5920593606931561 3025.4794733994021954 1344.4561562507544750 193.5626148080590951 1787.0939097121126906 2500.1215744166102013 2742.8724478471817747 1574.6975769074581422
   -3358.9889376183837157     -694.2453739110163724     -318.5756600798016507        0.0000000000000000          0       1202        807        814        782          0          0        0.0000000000000000 7097.5754444062213224 4241.3612739924928974 4605.3020752519296366 2672.7037094508996233 1127.6222218957141195 3495.4560055980814468 2554.4430138959505712 3311.1883668386171848 3965.5522680415351715 3746.0426784597752885 3850.2435606576709688 2935.8249912968285571 5500.0066941719851457 5147.0590417545454329 4050.1684068663644211 3592.1629429153590536
   -3696.9115172607216664     -267.6002956248362921     -725.2955188627702228        0.0000000000000000          0       1115        748        766        712          0          0        0.0000000000000000 8611.2702749366017088 4207.1668885024910196 2165.6569506522564552 2456.6826266249472610 2449.7641408354843406 4118.5009322656087534 1909.5627159537950774 1128.9977431408578923 -547.6526274327220563 1497.3374285874783709 3840.9727868447607761 3109.1112675064605355 1307.9630865234255452 4994.0858063264622615 4952.9603779351036792 6862.9707367358987540
   -3499.8428097438923032      -22.8737567018224937     -320.6736727377179932        0.0000000000000000          0       1164        794        780        754          0          0        0.0000000000000000 1205.1362788617543629 1670.0269538066622772 1749.3084797199296645 1483.9791064889338941 1892.7414285780091632 383.0077280378969817 576.3319117662221061 1068.8800645735125272 492.9767007802786907 319.5937452112603978 -312.5079325906157237 -759.0895756796755904 -896.6385252763321887 -84.7183717703485399 471.9795184800945549 1216.6964400342067165
   -3887.6222755341395896     -195.3333102254572680     -886.9935515902047882        0.0000000000000000          0        987        669        646        658          0          0        0.0000000000000000 7098.9030228847286708 9063.1207192789206601 5924.3317874432304961 4045.2397047245808608 3271.9331763253189820 6126.6673879096124438 6653.4230503572252928 6644.1768029225104328 3393.7220085964499958 3064.5403056530449248 3646.4246696706813964 1369.5810755982383853 1171.5289824434833008 4189.7486154288981197 4637.1300422710291969 3330.1094373314949735
   -3582.3421633683842629     -285.5260214156390930     -730.3787084498361537        0.0000000000000000          0       1111        764        709        748          0          0        0.0000000000000000 2695.6455255078294613 4046.5349965450650416 3889.2734153346373205 2376.0406733165687001 2923.8828012032154220 3744.5832327945563520 1508.8213410206683420 990.2249798864636432 770.1299941844538353 780.2255981226310269 475.1003029887460798 -530.2210734532018250 647.7848505787015938 860.3262802420006210 335.3665713304189921 2867.2779848692152882
   -3652.2576269776286608       -4.9311262505048949     -135.3192860509246600        0.0000000000000000          0       1085        717        722        730          0          0        0.0000000000000000 2342.2172778910971829 2761.8440815912858852 4170.8109166066587932 2331.8525032032557647 1950.3782225482057129 1601.1171254646751549 -144.4153157440858593 -461.1705218189988500 -2298.2353919462671001 -3439.5733816214474245 -3830.6653578017767359 -3302.3248323758571132 -1807.8138384359785960 313.4922020452634115 2855.3476365109313519 2316.9703275402798681
   -3489.5820020316623413      -98.4391155694644908     -494.1138340711991646        0.0000000000000000          0       1171        793        781        764          0          0        0.0000000000000000 3979.7125849104163535 2356.6271196481538936 1620.9005133705127264 2558.3055487619226369 4975.8920544066249931 1563.6785676684464761 143.3707930297945836 1516.2802995524305061 1429.9876443829898562 1763.1610403678864714 -201.4484975927288986 2183.5353930854039390 974.8553224608476739 3642.3049101618512395 2016.8261053621013161 1221.4597226720591152
   -3562.3610873383181570       83.4078502649727653     -414.6831699441504497        0.0000000000000000          0       1154        790        790        725          0          0        0.0000000000000000 206.9762479875624592 122.5379059663283812 -163.8827562656516363 -97.7965238377196897 -147.4739267629074106 -65.3554051922858719 201.3078560901234368 128.8535909701923003 559.8153001539310480 559.7898735428345844 423.6986966134025465 976.5593721429715970 519.5728007273272624 896.1960489731930011 279.0642532840636250 375.6595998668213952
