                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
   -9342.7662663313658413     3307.8175190632318845     -603.2387607807889935        0.0000000000000000          0          8          6          6          3          0          0        0.0000000000000000 44022.9887658126754104 42562.2455815770881600 41812.8676409887775662 43743.6435060559815611 43706.7856274120131275 44214.1707902110210853 42973.7888556117031840 43199.8248891282055411 44210.4058220859806170 45364.7941282731553656 44444.1802276130256359 42252.3188758777978364 45559.9366573449951829 45767.3270017443428515 44684.1550464077736251 43946.9208872105882620
   -9403.8744566930054134     3101.5536437728114834    -1178.9012279577702884        0.0000000000000000          0         17         12          9         11          0          0        0.0000000000000000 43552.5452673869440332 44395.4007063819517498 43348.2619614789582556 43996.1121419660557876 40710.4929588991581113 41129.4195771284430521 42700.0838260392920347 41197.1532423653261503 44091.9078934042627225 44661.6338755205870257 45119.9874220333003905 45351.5966967122440110 43330.0677352362035890 42133.3268126001494238 42752.3700960990172462 42109.8890104438687558
   -9480.8367093268643657     2855.2337288191756670    -1910.1945641969050484        0.0000000000000000          0          7          4          4          6          0          0        0.0000000000000000 47684.7135694868920837 45473.5637795353686670 47106.3175708243215922 46063.4200949411606416 48061.7577703256538371 45622.5445695501912269 46683.6623048289984581 46613.0764996923389845 46963.2458183995258878 47005.4325620930831064 48621.4342437675077235 47453.1004973699455149 46767.0451424810889876 46183.9645229795787600 46311.0862848978285911 47178.7871686311627855
   -9395.1336669641241315     2723.8823361889735679    -2019.4948261013685169        0.0000000000000000          0         14          7         13          6          0          0        0.0000000000000000 42938.7585259334300645 43482.9546349889351404 43420.5235832666439819 43366.8142988427716773 44004.7908412763135857 42798.8094824612635421 42405.1066980660398258 44681.1642694922047667 44426.7241462610691087 44714.6732545794802718 45198.8518016025191173 44744.3035283117787912 44572.7582044411246898 41795.5064667265396565 45071.9062707846751437 43069.8949413580630790
   -9378.4000384871942515     2366.4287743893278275    -2425.4279037061742201        0.0000000000000000          0         13         12          6          8          0          0        0.0000000000000000 48234.9408980412117671 45982.2012442707782611 46507.0538829203724163 46317.8201111613961984 46009.4835652543406468 45471.4987488058468443 47027.1891182467661565 46794.3805208643825608 47207.3954018204749445 46213.4832513874280266 46490.1486775183511782 46570.7536420457036002 46264.1203965450695250 46612.2028552489500726 46121.7767738916591043 45912.2451834865278215
   -9529.0725475504386850     2788.2859266496257078    -1970.5653440776429761        0.0000000000000000          0          8          6          4          6          0          0        0.0000000000000000 43119.6881470579392044 43394.5734771353381802 43477.6404185132414568 43835.1368007793207653 42992.9293589811568381 43909.1894563947353163 42430.3972173264919547 44850.4220171861088602 44517.6528640907054069 45966.6559194122528424 45171.1477693879860453 42927.0145816555304918 45951.8110636615529074 45754.8591097067983355 43977.9196206769993296 43951.0217240094934823
   -9390.4224906364415801     2895.7432626641084426    -1777.8660476013078551        0.0000000000000000          0         12          6          4          8          0          0        0.0000000000000000 44155.8998265044501750 46352.8320211966711213 44116.8047942604971468 44125.0296780909338850 43730.3790621695661684 44634.5137931413919432 44862.1719271572073922 45971.1644385802646866 46671.1630177846964216 43841.8311177214782219 45626.4271047016954981 44307.6263157289067749 44384.9911854980018688 43340.4153415878245141 43775.4476442348386627 43376.8948914872744353
   -9529.5640557218721369     2907.4625238930802880    -1840.6606467428925953        0.0000000000000000          0         11          6          8          8          0          0        0.0000000000000000 47475.0220584620983573 48164.8556383737013675 48028.2055506972756120 46008.7930432026041672 45604.0905388485261938 45779.6912745857989648 46528.2421727857436053 47279.9440268741600448 47986.4138393489774899 46090.7699934068805305 46482.8909920510850498 48727.4244219792162767 48014.5799594595446251 45717.2642358200901072 46376.3739670388749801 45453.0731699611642398
   -9550.4180364555850247     3056.3996799711399035    -1548.2380492267893715        0.0000000000000000          0          4          0          4          4          0          0        0.0000000000000000 43460.9309156046729186 45356.3293134885243489 43624.1935626492049778 45046.6747650432953378 44621.6030881062542903 44621.2672628184736823 44905.5126810066212784 44797.6927194559320924 45483.7932701869140146 42821.2753559505945304 44268.7065104179710033 45568.8729278566897847 44124.4141397403873270 43731.5823985302849906 44445.7027160505094798 46285.3142507910670247
   -9495.6089525126117223     3215.7410008409683542    -1080.5765430294297857        0.0000000000000000          0          4          2          4          2          0          0        0.0000000000000000 41645.1479745123288012 43905.4228760705736931 44366.3232866927137366 43025.5115308243548498 42285.9953413374169031 41952.1640701761280070 43160.1396140355282114 44225.0461368623437011 46196.9781117927559535 43348.9532776894411654 41353.1745094108482590 41993.9251308410312049 43398.6793601715617115 42927.3069786051491974 44634.5996805781906005 42093.9245734523137799
   -9447.6135355398255342     3278.6612422975572372     -767.5316672484945002        0.0000000000000000          0          4          0          4          4          0          0        0.0000000000000000 44840.3160113920021104 43963.7843249661455047 43859.4213344263407635 42438.3971887573861750 45372.8561423432984157 44568.0435875384428073 46038.5211564291676041 46026.4036270405122195 45557.9040109446941642 43319.6969591985180159 43523.3118132960516959 45327.8579397110006539 44901.3453107405584888 44616.5939637644696631 44493.2193248695475631 43520.2279323623515666
   -9376.0342264760474791     3366.1052150673481265     -381.9555142621072719        0.0000000000000000          0          0          0          0          0          0          0        0.0000000000000000 42133.3108355599397328 41662.0981794964973233 43888.2692473628994776 41627.7850956494949060 43688.0144081602556980 43856.9876141062559327 43620.9529941175351269 43523.2155459488130873 44149.1945723120588809 44796.8847687505476642 44368.4235859470136347 44231.9596440511595574 42790.6085150638900814 44283.7478563971089898 43201.4485220112037496 43427.8880207441907260
   -9407.1447002486365818     3228.8501134283169449     -905.5131428705568624        0.0000000000000000          0         18         10         10         15          0          0        0.0000000000000000 45528.2866239315044368 43835.9476848197664367 44358.9092301244018017 45119.1971988308287109 43330.9307352113537490 43950.4388043990475126 43372.6598217594291782 43183.7873676150411484 45108.9497270188003313 46543.7224862914954429 44763.7995309200705378 45698.4215212588023860 45892.3562219111408922 45077.2567058040949632 44762.0998254257501685 43624.1018640937254531
   -9493.4435911500822840     3352.2675435957630725     -339.4281958682884124        0.0000000000000000          0          5          4          2          3          0          0        0.0000000000000000 43773.6831630109663820 45977.3516883256233996 44999.5229009456525091 44658.8210074010276003 43385.6630122816422954 43383.1393640279056854 44744.8497953100450104 44465.6913313412733260 43851.5795673975080717 43799.0601811753003858 43994.2144591050528106 44096.4030817885359284 44684.2177982400171459 43516.7684556830645306 42169.7766140782769071 43063.4487508018573863
   -9458.1524618072344310     3351.0873581513942554     -409.8112179077498354        0.0000000000000000          0         16          8         10          7          0          0        0.0000000000000000 46257.4338340743925073 46126.5927047242294066 44605.9840539461802109 44317.7224459270364605 45459.0596111262275372 44914.3950308333514840 46786.5311729250388453 45382.7680785057818866 44453.0998956192051992 44095.6405881186874467 43086.1693323656290886 42317.5437240304599982 43983.5707726497130352 43895.7915238475179649 45805.3128675890257000 45798.5234156701917527
   -9449.1703690746526263     3404.8607815284267417     -277.4776477253429903        0.0000000000000000          0          2          2          2          0          0          0        0.0000000000000000 46913.0489077027814346 47278.6120148834961583 45928.3729515602972242 46097.1202278490090976 45923.7024636273563374 46203.1883253775595222 44733.5656431217066711 46596.0794757706025848 45109.1055702899684547 47356.6928436668677023 45601.0820211037935223 46359.5434988309571054 45823.6384848814341240 45471.0797911111003486 46068.2692877778390539 46555.6601997240941273
