                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
    -663.4291884673224331      -59.8996461099978177      253.0996432251909312        0.0000000000000000          0         83         48         56         62          0          0        0.0000000000000000 1075.8133486793992688 909.4095384815324223 1088.8640884569745140 734.6146456050797724 626.7591672314687230 717.3968736780733479 660.1469338364321402 953.6508609161197683
    -634.2526589394537950     -175.4314339127730591      168.1393974676390712        0.0000000000000000          0         81         56         56         49          0          0        0.0000000000000000 789.7057281402796889 654.7355057276771504 1263.6759964414802653 975.4597876312973312 1027.8196767245985939 679.1726684559839669 908.0414405525127677 515.2405473608159809
    -692.9114673564810118     -283.0508835694179766       19.4099324607648711        0.0000000000000000          0         76         54         48         47          0          0        0.0000000000000000 1145.1845327585413088 1508.6335234978623703 1235.5477171311522397 875.3766426649884806 1103.7758977299799881 1124.9098203610776636 1292.7088900631815704 1274.8366689193446746
    -633.8600988207977025     -235.5171149377150073      134.5326532599401332        0.0000000000000000          0         67         43         40         45          0          0        0.0000000000000000 1381.4254692276226706 1394.4141854903564308 1290.5394960481794442 1387.4115494473903709 940.8911494715312074 970.8168534140078236 1323.9344624448940522 1054.2385089862634686
    -726.9956647845043562     -306.7542056641671024       53.7451145687400569        0.0000000000000000          0         56         35         38         38          0          0        0.0000000000000000 1920.8691599273151951 1708.9660367165083699 1616.6021346638660816 1244.0415042339236606 1857.6138539431756271 1645.6749493023173727 1819.1788669703298638 1812.4634054053144609
    -673.2845758005443031     -208.3463333206363757      155.5488062749699054        0.0000000000000000          0         65         41         52         36          0          0        0.0000000000000000 897.5298138326420485 692.0286685148710148 752.1816982554637434 1117.3175876341251751 856.3714924252009268 713.4400918728950955 1052.3689993118080110 964.7984352421165113
    -737.1034165965681950     -171.3955152025150426     -232.5931144088021369        0.0000000000000000          0         66         40         52         40          0          0        0.0000000000000000 2063.2868501312182161 1543.3124629940475643 1878.5035367249511182 1867.8570512308290290 1311.4365604770489426 1522.7118095122978048 1213.0740482725498168 1530.4831376130039189
    -776.0203442799841014     -109.8346652874404299     -295.8004896772679899        0.0000000000000000          0         33         15         25         23          0          0        0.0000000000000000 1490.9747176406201561 1549.2126000042048872 1497.9317949229932765 1311.8041945978636704 1477.7062438141369967 1504.6745128883894722 1603.6959200202386455 1708.2020313091945809
    -744.2035787108628710      187.0583851779454108     -208.8136390917835854        0.0000000000000000          0         68         46         54         35          0          0        0.0000000000000000 497.2808461469261374 604.0885209413868324 875.2211712590583375 711.6482711525953846 989.9790838849658030 1013.4758202901350614 832.5474783123355564 717.3578906668101354
    -725.9721353374104638      221.3787340807898261     -205.0077607721204060        0.0000000000000000          0         42         30         30         24          0          0        0.0000000000000000 1292.2344514446447192 1585.2367341763283548 1215.6455227829260366 1300.7276062428877594 1189.8659124963205613 1175.3661529636474370 1220.8251616786571958 1555.1188829929665189
    -787.4943573486767718      -52.1081517953051616     -315.5343271613837146        0.0000000000000000          0         44         29         32         26          0          0        0.0000000000000000 1644.8548286882571574 1665.9545053254034883 1816.4392450446632665 1510.8286265865399400 1824.7622053476065958 1689.1733740422407664 1468.5437063214383215 1272.0012625760120955
    -702.7777612846016382     -203.0382195262860705     -188.2867250283408964        0.0000000000000000          0         74         50         57         40          0          0        0.0000000000000000 857.9645204056290595 1128.1846309714310337 1303.3406201722273181 1297.1232797819461666 899.1321226669878115 639.5408679702263726 857.3925903582644423 895.8111472437628890
    -630.2017211786993585     -243.2812001883268067       53.1138747055635392        0.0000000000000000          0         93         62         57         65          0          0        0.0000000000000000 693.9879680460923055 782.7699842582184147 733.6563978775556052 991.2967225773980999 828.1102412597737157 846.2764762142052177 841.9832310678580143 810.1750422774695153
    -741.2526100450803597     -278.6007351510306194       74.4235119268956851        0.0000000000000000          0         65         34         42         54          0          0        0.0000000000000000 1455.6701813031841084 1254.3083218309268432 1364.8894360121691989 1625.2850172789076169 1617.6208436526344485 1593.2806382471208053 959.5497863699238223 1098.5413046290132115
    -751.7917832480751485     -253.5337608398654368      170.9370230540310160        0.0000000000000000          0         61         40         42         40          0          0        0.0000000000000000 1209.8018173449804635 1424.9087682443505400 1378.7096127179645464 1286.8916235987360324 1264.5604076319168598 1489.6700156971714932 1568.9713313372935772 927.1240098884912868
    -681.9767908396933080     -187.7245841452410389      189.0513282478532915        0.0000000000000000          0         71         52         46         43          0          0        0.0000000000000000 958.2939053116901960 729.3117344335125836 1009.4045015477591960 1325.8936066081314493 1180.1893576830057100 1115.9417172954442776 828.4150537333705415 1022.1759723125121582
    -741.4903455113441169      -58.1688223222708132      297.4572991887476974        0.0000000000000000          0         65         44         40         46          0          0        0.0000000000000000 1734.8471433326942588 1486.8073314981634212 1439.5647311072957564 1927.9823052771964740 1617.8469918640246306 1338.4479262656950596 1293.1984827661897270 1244.4086090590744789
    -762.5069251169247764     -285.3720445445970881       78.5587586231935120        0.0000000000000000          0         55         32         44         34          0          0        0.0000000000000000 1264.9715856137274841 1038.1260267547568219 1039.2193292503875455 1479.3228232377434779 1533.4724253057195256 1616.2178125068121517 1116.1432846121592775 1430.4396705730932808
    -744.4238832287575178     -215.7120051233022764      208.6164442904891700        0.0000000000000000          0         43         30         28         28          0          0        0.0000000000000000 1322.6933227158256159 1325.3590080786893850 1137.2128531631390160 1587.5009226407978531 1388.3759501599934083 1321.0062933610333857 1494.2495855338743240 1249.2474439567511126
    -731.3649696854273543     -206.9809058014022867      204.6905140778634973        0.0000000000000000          0         66         44         44         42          0          0        0.0000000000000000 1584.1254529319426183 1074.7880779937881925 1349.6372874811552265 1275.1288142420312397 898.0934976424873639 1340.5416200275753908 1432.6059126738884970 1498.8253832435689219
    -708.3860767483204199       77.4682023067582008      271.2929333266450271        0.0000000000000000          0         77         49         52         50          0          0        0.0000000000000000 1856.0468481528118900 1185.6612459437824327 1339.6166532274919518 1521.3009933843468389 1304.3723997235226761 1059.2262542953221782 1741.7588654917542499 1868.3799756441405862
    -696.8482941167233093      252.6947833448343204      128.2665522309900439        0.0000000000000000          0         66         40         45         46          0          0        0.0000000000000000 1192.1943954330408815 896.8539957480734301 1358.1092598555806035 1480.3014473927928520 970.1985122486779574 1172.9899025690658618 1383.0288680144201408 1294.7056459351542799
    -725.5143411611921920      238.2671669344295537      149.2101841740583552        0.0000000000000000          0         44         31         28         27          0          0        0.0000000000000000 1275.0435644416847936 1303.1490767373509243 929.8699490203786127 1141.4608011332315982 1308.6348451049072992 1662.4737157331412618 1025.1623169919917018 1273.0654936077226012
    -728.4290375043783570      276.6294141688458694      -26.8168344538302854        0.0000000000000000          0         63         30         46         50          0          0        0.0000000000000000 1303.7523761435006691 1111.4458647348933482 1384.9949497410188997 1199.4178371851057818 1350.4131282223811468 1520.0973824635750589 1071.7163045601846534 1031.5343066281952815
    -670.0813820028134842      279.2089667983676691      -42.9453789375907888        0.0000000000000000          0         77         49         54         50          0          0        0.0000000000000000 1663.4985185743823877 1464.6186359292917132 1005.2341327114688738 1279.8724551722943943 1808.1262259804118457 1328.1528459573200962 1353.4561753056059388 1618.0468786691390051
    -651.0722722971671601      226.9390376824384248       86.5380238006276272        0.0000000000000000          0         78         46         55         54          0          0        0.0000000000000000 412.2481874957862829 422.8463763672836535 592.4642535936518470 887.0190660304773473 702.0214309558331252 726.2845495465752492 478.2207105103957474 571.1377058626259213
    -801.3046478117598781      189.6478084336341681      245.3833747981629188        0.0000000000000000          0         55         39         26         44          0          0        0.0000000000000000 1616.3221245526219718 1787.2693921216923627 1731.9011580362998757 1096.8697519182323958 1399.4806097498785675 1496.1209827789280098 1816.6062015992274610 1445.1271123353344592
    -720.7448499187553352      245.3645681631410582      103.0865973283508623        0.0000000000000000          0         67         44         42         44          0          0        0.0000000000000000 1967.5929348049503460 1970.8293052547076059 1747.5261436531559411 1676.0938360593750076 1067.0281049237905791 715.8058763447575075 627.9356466594259700 1740.6871766681442750
    -732.3300960048090928      103.6875082279563003      275.5448553993207383        0.0000000000000000          0         62         34         47         40          0          0        0.0000000000000000 970.5912399101557639 1223.4500088276899987 1338.4946598746407744 1174.0405635930792414 1154.1311979532963505 1237.6448596755687959 872.2015461501686104 813.2914982361852481
    -728.9653926305002187      109.3170583146249015      274.5568826266100473        0.0000000000000000          0         68         38         41         56          0          0        0.0000000000000000 1623.1510257995705615 1733.0980493603528885 1885.0467121543154008 1430.5207290034406924 1368.8181328447903979 1168.2302228794846997 1233.6744248026357127 1446.4510181730506702
    -697.1143798277732913       20.7861100568182984      281.3081141570304453        0.0000000000000000          0         66         40         46         42          0          0        0.0000000000000000 870.4018071419653779 1179.8993738267292883 1030.0618350857193946 1175.1095704161123194 1171.1010796627547279 1058.2306237700031488 1022.8514660849182292 738.4897711533743632
    -753.9257172132973892       32.8582069891195587      322.2188849508511908        0.0000000000000000          0         51         38         30         32          0          0        0.0000000000000000 2193.1608774284395622 1620.4410254213503322 1948.7646572267767624 1627.9473252839125053 2113.9551134977982656 1769.1887209005037676 1507.5141250104670689 2222.1993909235361571
    -650.7631315858830021      129.0749114462958858      205.8247890464833461        0.0000000000000000          0         92         62         64         58          0          0        0.0000000000000000 1372.7209090577282495 1376.3588448985008199 1057.7192924458088328 704.5113184624835867 1063.3134849211894561 863.1333430871543442 1044.3150313871674371 1244.3923457535181569
    -762.0058952752447112      170.0122884541981136      237.3439617972281894        0.0000000000000000          0         54         46         32         30          0          0        0.0000000000000000 1353.7670021998301308 1520.0043731008352097 1028.0454153566640798 622.0500888399849373 998.0494534509073219 863.6338393433001102 1131.4690803421644887 1220.8780711946988049
    -716.3825815332596676      149.9975284756689859      253.2794854385455778        0.0000000000000000          0         61         40         44         37          0          0        0.0000000000000000 1771.8565877637438462 1577.3024873979181848 1733.7775469556811458 1121.1304831479355926 1342.1254013780207970 1354.3196459819932898 1525.0796088888751001 1932.1416963006986407
    -679.9493346560988130      -29.0091258565863654      273.3754537738576005        0.0000000000000000          0         61         46         40         34          0          0        0.0000000000000000 1515.5472291540995684 1106.8955427583596247 800.7452673208595115 1049.2239520512814579 1704.7312161349645976 1335.7937893113926293 1301.1405970991672802 1591.3272944080722482
    -703.1862273028143591     -266.0366886881408277       16.8895231095268485        0.0000000000000000          0         59         39         33         44          0          0        0.0000000000000000 1384.8266980475445962 1258.0380754665616223 791.4984636123281234 594.2485798828786301 1121.3851591796283174 1387.3763630404757805 1300.8940174105107417 1270.1986983529586723
    -714.4532646699307179     -123.9040283457003682      268.1615410863321358        0.0000000000000000          0         55         34         36         39          0          0        0.0000000000000000 1530.7958072308508690 1274.0591387252161439 1644.7666068888488553 1550.6306597178459015 1722.1013272280656565 1497.4953147117325898 1035.3637946701976489 1200.5123705086743939
    -775.8283384663232027     -119.7221445054897373      275.6625957539424121        0.0000000000000000          0         63         44         39         41          0          0        0.0000000000000000 1898.0114560586380321 1716.2266242705902641 1295.3491287980530160 1630.4511403027449887 1839.1835686276315300 1553.3268701827885252 1333.2645298523791553 1582.3696730973033482
    -725.3252988287653125     -178.7738272348231021      243.2091029685947206        0.0000000000000000          0         55         36         40         34          0          0        0.0000000000000000 1661.0773070575401107 1316.7091616253096618 1592.4200717402982264 1509.0370858095493531 1527.4385142205746888 1643.7176787613514080 1307.2123936292975941 1720.7002639865008859
    -808.8216150446955908      -73.2464282415333514      317.6459193813939805        0.0000000000000000          0         43         30         24         31          0          0        0.0000000000000000 1584.7858444993878493 1200.1389187792392477 1645.7605536686826326 1618.8685061125866014 1650.3292653846363010 1827.6459084603125120 1773.6393479360374386 1606.6675432368776910
    -668.9315429504041504      -80.1097491705445890      230.2793365839918067        0.0000000000000000          0         80         64         50         46          0          0        0.0000000000000000 1970.5676931107173004 1523.0233618088634557 1649.0887367680727493 965.9351902301091286 888.9583948918349279 1079.5609635177961536 371.0565735471024027 873.4197579483925438
    -675.8509048315307837      -76.3186392195808168      258.9765900525796383        0.0000000000000000          0         77         45         52         56          0          0        0.0000000000000000 923.2318536703475047 849.7105019539628756 818.1870764043388817 1196.3127368736427343 1351.9533446964196628 1118.8226422227967305 993.6356405381370678 947.5286699142342286
    -612.5335437214737340     -229.8894791913440372       86.5186205658222036        0.0000000000000000          0         85         58         54         57          0          0        0.0000000000000000 638.2840812106956037 969.6780780882559156 788.1914950968460971 148.0121674882364005 754.4421757539829514 872.8986149859507577 556.9664303833383201 886.3822260388949417
    -784.2534213467537256     -310.2124659408693788      -22.9369188664599157        0.0000000000000000          0         56         38         46         28          0          0        0.0000000000000000 1506.6526692753691350 1302.1622866015641193 1263.2621582844790282 1629.6040856201811948 1785.9964597502917059 1403.5542415746701863 1391.7262598277468442 1527.1183868760517726
    -673.6246642565949969     -158.0874997909616013     -223.1134052479726506        0.0000000000000000          0         74         45         48         49          0          0        0.0000000000000000 624.3688666887683212 516.1336829646085107 909.4422583343823590 970.3703909465509696 789.0357716367878993 836.5993285389805578 1067.0444751868519688 950.7906682234757909
    -633.9260902074639716     -166.6502478982662296     -198.9764359350689915        0.0000000000000000          0         88         56         64         56          0          0        0.0000000000000000 1488.9409205997728805 958.1314297921112484 1195.2097807794932578 1233.4834778408744569 1161.0038051809290209 850.6888715994248287 1276.1970933211177908 877.6104310510913820
    -693.8503956679202247       69.0075749389231135     -259.2157784891974757        0.0000000000000000          0         63         40         42         42          0          0        0.0000000000000000 1746.8250210989540392 1449.6436093295667433 1424.9176834786601376 1259.7241129571452802 1518.6758673017527599 1193.3682069497324392 1019.4570755485098061 1226.3480552923856521
    -675.2346983102457898      115.6638933901078730     -240.9201994899407566        0.0000000000000000          0         76         48         56         46          0          0        0.0000000000000000 1660.9067537307480507 1444.1890875641615821 1392.2242750367397548 1239.7281477539427215 601.0926565476900123 961.6401773262471124 1203.6001016656143747 1233.3775436513617478
    -633.7366857662580060      236.1213145604392025      -78.9483341868181867        0.0000000000000000          0         90         58         60         58          0          0        0.0000000000000000 1504.9332123022413725 1081.2201816736926503 1027.1108647997950811 1132.6144798648290362 1245.0222514492825212 1029.5208505705525113 1311.5985297188674394 1284.5234579328659947
    -801.4612843618152738      277.5879123705516349     -170.5791158512073196        0.0000000000000000          0         47         28         33         31          0          0        0.0000000000000000 2539.6276006816960944 2111.8005244474452411 1780.1525383787197825 1946.7999683495172576 1532.6680143176636193 1494.7062620825117847 1909.3224477049866437 2068.9682329499810294
    -670.1168647478762068      186.7577961575941004      180.5953694588220060        0.0000000000000000          0         84         60         52         56          0          0        0.0000000000000000 1138.1441315056006260 632.3289817597045612 658.2883903424466325 1098.6147990725089585 1476.1765477593010019 1190.5440181244794076 964.3985657650184748 1287.8482348689133232
    -774.0950655682530623      213.7090148711670849      225.4633735043257445        0.0000000000000000          0         49         34         26         36          0          0        0.0000000000000000 1667.9762640833610021 1359.0949347095724988 1800.1086620227097228 1744.5210194079850226 1515.2521722251094616 1515.3863898572512880 1582.7596894251382764 1470.9747854217473559
    -826.6240150688620361      216.1857320280967372      237.2673312757102337        0.0000000000000000          0         36         19         26         26          0          0        0.0000000000000000 1445.2149730325306791 1350.9921864577017914 1495.8709402839849645 1520.5354030626931490 1628.9281298347018492 1280.3108554145474045 1267.9860716346258869 1563.9454747392405807
    -737.4907741763935292      189.2944997951164794      220.7212031673812760        0.0000000000000000          0         59         39         36         37          0          0        0.0000000000000000 1828.4815543818067454 1563.5929769260405919 967.0033132328185275 1223.9103820919167447 1851.3520033629299633 1787.6899945180045961 1594.4608217112966031 1481.7171411253539191
    -723.9338825590298256      186.5424481723610484      229.2527973962477859        0.0000000000000000          0         64         45         40         42          0          0        0.0000000000000000 1123.6387648570378133 1251.4129434706496795 1163.2230145399726098 1229.0386746990238862 1076.8967792033624846 1468.3659393985149109 1076.8122549368422369 1135.5401265383975442
    -725.2443900597799029     -116.6844471339702949      271.4714453926425790        0.0000000000000000          0         64         44         36         48          0          0        0.0000000000000000 1609.4812795123125397 1348.5161586941690075 1563.3122525351184322 1389.7309074961972328 1481.8261263428739767 1455.5360846835235407 1340.0062077748730189 1370.1772974479899858
    -636.0459652723602630     -111.8018030601323574      234.3695087399973147        0.0000000000000000          0         85         56         54         60          0          0        0.0000000000000000 979.1591433854765683 1137.4094538887893577 980.5019065597056169 810.6741899894062726 747.6238901589744046 817.0515320723718560 1180.7293554736750139 1035.0266243021751507
    -794.0430866440073032     -226.7551566716090861      222.2636652519693143        0.0000000000000000          0         49         31         36         28          0          0        0.0000000000000000 1951.6669010907960455 1881.4504851981519096 2036.1934640292934091 1541.5571139273392873 1647.0848753930711155 1538.0743262560044968 1792.7014095009449193 1637.9731854322037634
    -589.4596425415552403      -91.7516806847339552      156.1554166047114336        0.0000000000000000          0        103         66         73         65          0          0        0.0000000000000000 434.1813429669011839 492.3259759013819234 701.1726042268830952 835.1948776933891168 521.5237587510216599 239.9562761875674255 274.1838273473215963 271.4758737757428548
    -612.8416765184399537     -213.6755666501064184       88.8234235130659471        0.0000000000000000          0         88         54         60         62          0          0        0.0000000000000000 1421.4196053257601307 1363.4545839180032090 1629.4725717649432681 937.8650088818341146 740.6289656307153564 766.3689718684482841 840.8869793497642604 1020.9441696267789439
    -625.1755864699387075     -213.7676029917751634     -127.3154830512984006        0.0000000000000000          0         81         41         57         62          0          0        0.0000000000000000 1300.0096906638739256 1085.2740854666753876 1100.5628167249046783 963.2105054359833503 1201.7199916750564626 781.1266789895711327 1086.0911737869973877 1216.8393946818428049
    -635.2170274595031287       50.0755065382179367     -260.0343814926170012        0.0000000000000000          0         81         51         64         46          0          0        0.0000000000000000 1054.4967628664810491 1190.2030371608057067 990.7759827894341242 823.4808794624991606 717.2653750431227309 917.4216934803860113 1064.7063392913978532 1237.9540603670518522
    -654.6219665646075327      191.1256935484509825     -163.2488615161678922        0.0000000000000000          0         80         53         47         58          0          0        0.0000000000000000 833.9691545370670838 733.5974384837779780 924.9506142753120912 812.1566628475675316 516.2405236379074722 910.8294411696206225 1170.2624346627187606 1318.3052967110636473
    -754.6684110307061246      -41.5469851117478726     -308.2206024227138528        0.0000000000000000          0         64         46         46         34          0          0        0.0000000000000000 1001.7779408551982669 1284.1480405570889616 1324.6694174945735085 1217.7713899057791878 1205.4314848284259369 1329.9749711854015004 1297.3598865020560424 1176.5879961355199157
    -727.1428278553917153     -224.0585873653126043     -169.8169123861766820        0.0000000000000000          0         55         39         37         32          0          0        0.0000000000000000 921.2502888440882316 1119.2492330065279020 784.0586876020900036 1034.7009480145504767 1098.3605485998468794 1104.7701611441941623 1156.1223208853191409 1237.2743464438603951
    -825.1603537523617433     -274.4922285136656797     -154.0711148093479892        0.0000000000000000          0         44         29         28         26          0          0        0.0000000000000000 1081.0809626566272073 1079.6671710797525066 1317.9126667717914643 1239.9306876984674091 1171.9055843148807980 1243.0562861869082099 1414.6117364570525297 1169.9485507997956120
    -627.6647078343297608     -237.6423814772403489      -58.8425829635957811        0.0000000000000000          0         88         52         56         68          0          0        0.0000000000000000 834.4894073265433008 793.2359691407199307 1023.5459709645961084 797.5270642600078190 433.2980822863112280 252.0970134675072813 130.8610571837928660 587.7782041309051237
    -716.5688766241016765     -241.4059177541765848      201.3369103380826743        0.0000000000000000          0         46         28         34         29          0          0        0.0000000000000000 1885.6953776037037187 1759.9932305166953483 1750.6307040607243835 1736.2550302687222938 1765.2245559127650267 1384.7386769378451845 1482.2274082373683086 1155.1273696907981048
    -705.8747242596623437     -282.5787092600152164       -4.0777329579876254        0.0000000000000000          0         62         46         37         39          0          0        0.0000000000000000 2241.9482655950400840 1357.2399044428498200 1834.1236433014894374 1771.2004780072327321 1495.3391918955614983 954.7881392150269448 1786.3899771831081580 1923.5113894604621692
    -757.3033213599342162       51.0907223186796386      288.5808355496479294        0.0000000000000000          0         36         17         23         29          0          0        0.0000000000000000 1922.1450398530450911 1415.0416023514499102 1394.7435388449866878 1461.8550022504812205 1510.9757136243670175 1657.2406344901205557 1661.0872624114360860 1623.6830299879368340
    -593.5598220913301475       45.2457754317370160      259.9703760335473248        0.0000000000000000          0         78         50         54         52          0          0        0.0000000000000000 1220.9006288563712133 1016.2944941399179015 1123.8456795564643471 870.4139779364680862 1171.9323431500804418 995.3204885297857345 1235.6690207933509100 1255.7419453757418069
    -718.6092973631666609      118.6169605841628254      189.0433139743672939        0.0000000000000000          0         71         44         48         49          0          0        0.0000000000000000 456.8913925070855839 495.5100270486676663 272.7631723616943873 237.0241646709366989 260.7060755773186429 748.2864107588775369 740.1297756844303422 763.3246728253824358
    -713.0064179412976273      -30.3617895411372842      287.5854001546301788        0.0000000000000000          0         66         40         42         50          0          0        0.0000000000000000 1385.7641152362427874 1367.6839107903358581 836.6537158664215212 1188.2702141857528204 1304.1273248048778441 1537.9393041305067982 1624.7403966231593131 1264.3420467243659004
    -653.9141991736117916       82.1057136905332925      210.4153115254598845        0.0000000000000000          0         92         66         56         61          0          0        0.0000000000000000 395.1972421070037740 400.0568054206651141 557.6084014914739555 690.3578242927205793 614.0313083777409702 627.9042638900759812 387.3669035771992526 661.4313927492884204
    -561.6415738162888829     -196.3635891356908019       28.9358635391457248        0.0000000000000000          0        110         76         73         68          0          0        0.0000000000000000 179.3123462445702785 299.4438761012220880 440.9388833194286121 537.9813335898397781 353.9207758339014731 229.6142407570909825 258.9882810705869360 333.3588602521086273
    -684.9555720448385046     -266.7246752544190826       41.6195518320629674        0.0000000000000000          0         72         52         49         42          0          0        0.0000000000000000 572.5733933115309355 814.6236241829708433 1025.8629663458173127 506.8311359837999817 1011.1302679782179439 926.7469610550482457 690.0169560211777480 844.4645251666858030
    -772.0374306303093590     -324.2876154931958581       35.2817896626653393        0.0000000000000000          0         51         37         31         31          0          0        0.0000000000000000 1606.6518931102391434 1861.9101684925419704 1744.9877638417065100 1738.1699014864591391 1385.6151835737723559 1380.8369611759519557 1473.1037085503903654 1872.1246224108417664
    -762.9734680505878259     -316.3204423407786976       36.3031494266427828        0.0000000000000000          0         50         28         39         32          0          0        0.0000000000000000 1362.7210566709534305 1297.8965707426248173 1175.2578629801996613 1489.2782188817923270 1764.3444160721128355 1655.2418859146960131 1631.4790566553917870 1331.5547325400248155
    -613.7706182528828549     -191.3981737998664130      -78.0171338917975987        0.0000000000000000          0         92         59         62         62          0          0        0.0000000000000000 943.3114154665347542 700.9321116061186103 730.7752271024251058 1113.0190540911069093 775.5053418830449345 654.2658571724306285 663.7239115575292772 742.0452955070720691
    -687.1345337872368191     -249.4295912062232503      -43.4572389333886733        0.0000000000000000          0         73         50         46         50          0          0        0.0000000000000000 1028.4607097230334603 1027.9907851363893769 795.8222137195778032 1121.5752247379214168 994.3658184238697686 1132.4267066254890324 807.2838556956087359 1071.5303708314752384
    -673.0265989794203279     -254.3101757553389461      116.6479929548799532        0.0000000000000000          0         69         46         49         42          0          0        0.0000000000000000 1903.1416191251926193 1665.9541842435610306 1805.9788025731886592 1188.0986572871804583 1429.5332048209590994 1065.4720467842691960 1363.1494262851526855 1375.8271888604119795
    -608.5407489863289356     -146.6341895803154500      183.6775767648518354        0.0000000000000000          0         92         64         57         61          0          0        0.0000000000000000 1207.3365453530741433 1041.6409335359539909 751.0570166797581351 441.9673964192343192 935.7537957614806601 1006.0054904982854396 861.6019313542573173 822.4820714964688477
    -746.0328854553213205     -114.7586473237255547      277.0061428301854107        0.0000000000000000          0         58         44         31         40          0          0        0.0000000000000000 785.1521284497353008 1035.5196979255304086 1138.0417445503908311 1065.0709111681419472 1060.3396141596613234 925.7896017385113510 1195.2460263944660710 1043.8866280877170993
    -514.1223542154158395      -15.2333694591946838      186.2946005621634242        0.0000000000000000          0        113         70         74         82          0          0        0.0000000000000000 1084.6664323913296357 622.4554888274175255 372.1793783564825731 235.0027340917232266 879.5141954395646735 1174.1769034150306652 1004.8428697654874213 558.1290526498921736
    -693.1305436969538505       19.6414020845371873      287.7052180208911523        0.0000000000000000          0         64         40         39         48          0          0        0.0000000000000000 1673.3801285490114878 1414.4635896897805196 1099.9585837672816524 1755.7328439287114179 1475.5354359813968586 1199.4139807036915499 1505.8930630373658914 1651.4610582837515267
    -762.8494871687178147       39.9595581342854089      268.3413721723175058        0.0000000000000000          0         51         32         34         35          0          0        0.0000000000000000 1559.3241481979912351 1166.6982710656866402 1099.6895919973667333 690.5086602564783789 674.7330772990483183 1133.9616254330553602 1383.2088037393439208 1665.4243652371173994
    -630.8253942701821870      209.3230288881593992       65.4353292408587777        0.0000000000000000          0         88         62         59         53          0          0        0.0000000000000000 903.9829124980633424 686.0821248280391274 567.2875118450547234 844.0805642258058015 623.4825078808225953 789.1985146320849935 921.7939011630351160 1253.0727979168198090
