                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
    -320.1250628071169331      -24.3092788597049285       82.2560402493294731        0.0000000000000000          0        181        118        131        112          0          0        0.0000000000000000 150.0058291312329288 31.4741182798308934 12.8363688560304130 -6.1367602613273773 160.6279621776662623 127.8283674439164344 217.8220332753197113 227.2510222983741812
    -363.8751460559626594       87.1770607057232922      -23.7680778889693336        0.0000000000000000          0        160        101        112        106          0          0        0.0000000000000000 39.7869384373285868 23.2455679200601075 93.4980938127638410 63.8844574576790052 11.3432420559374876 101.7056533210802343 51.5693808297173888 90.3931428932839935
    -368.3558627537963730       71.1893857256489184       13.6955101261544776        0.0000000000000000          0        159        112        108         98          0          0        0.0000000000000000 120.6414733238655401 -104.3945131758140832 4.0926365948897221 -148.5507132090078244 -113.6369648879730789 -207.2667710074882734 -175.3552455108815025 -140.1396127446399191
    -350.5983261812271508      -57.2414468211417073      -16.7149707211059351        0.0000000000000000          0        164        106        110        112          0          0        0.0000000000000000 29.1250489807554196 41.4538340638004001 9.6557840656775742 26.7793278073729581 -67.2889373360085727 -145.3911890085246625 -79.4133914054990129 -66.7890965499193499
    -368.8463264833006860      -30.5660086395547310      -55.7911968610831650        0.0000000000000000          0        158         90        104        121          0          0        0.0000000000000000 119.2362563944335818 195.9869463253319282 -4.7851577313380531 -60.8130003456215036 14.0698827489497500 47.5388105372562677 107.2065801915534706 114.5727765946530070
    -315.1237721421852029       61.6844447056134371      -59.8473117681738387        0.0000000000000000          0        187        124        121        128          0          0        0.0000000000000000 422.3511317441590336 84.6033567213598019 37.4635524286111163 -2.6672342922730543 64.0927703503234198 176.3231584042144959 488.9208050414081299 478.9624233045375377
    -324.1143137963321692       38.6347063774511170      -28.2260160516191867        0.0000000000000000          0        183        128        116        121          0          0        0.0000000000000000 54.2370243571513271 94.9316001552486739 147.0223634006601969 30.4615581454173068 38.8594320463012508 -13.6433781326384391 -28.7008806693053913 28.7743435740515778
    -350.0718709341651902       70.9563708681084506      -13.5002307322718114        0.0000000000000000          0        170         94        124        122          0          0        0.0000000000000000 664.3496465000930584 563.1720244262863844 338.9880670955146797 12.8297929971782878 -396.2927904682712779 -76.9021804543674250 304.0073591703336433 161.1610217397432905
    -369.1267631909910278       20.6644672395226721       85.4920409993063117        0.0000000000000000          0        165        112        110        106          0          0        0.0000000000000000 219.6381503659711996 211.4987110273412441 228.7542367021232508 -38.7635862126392396 47.7945319576811869 101.2249026000658034 122.3358498555891742 164.7554810424090306
    -405.4512880676275017       11.0283520131129755      119.3908783160896263        0.0000000000000000          0        163        103        112        110          0          0        0.0000000000000000 49.2325538196843482 23.3588566908984134 109.3092209992973096 142.3300403994777525 144.6468576849750889 141.0883790899265762 174.8549427587292371 38.7197294844136124
    -371.6781553476836280      -10.9111914343415553       20.6046551340061832        0.0000000000000000          0        161         96        106        119          0          0        0.0000000000000000 55.5083079596007707 67.2948427051468911 -18.8179300075890126 -125.3076565526701245 -44.3674057674714390 3.0390490250066593 170.8335805378720806 62.2757333051229196
    -368.0702907294657962      -17.0270634068461284       70.4520567377504818        0.0000000000000000          0        160        114        112         94          0          0        0.0000000000000000 285.2751496962872011 214.9823172836769913 349.4007151820147214 159.4430144607669320 117.9783572627059698 141.1245569726284828 -17.0874386459679144 -30.7227857978957886
    -308.6186812733998863       38.7155101074913190      -17.8589965579589389        0.0000000000000000          0        183        114        126        126          0          0        0.0000000000000000 38.9267116424304760 -51.1215581823216212 -17.7675472430652590 59.9748441026572436 -17.1258135807063994 43.7242604841238887 84.1199858066213295 43.9791815702528908
    -282.2406902014489560      -29.0755218629771193       54.3938268758102907        0.0000000000000000          0        193        128        120        138          0          0        0.0000000000000000 103.3351008387851948 50.5101672078568811 110.9124066962666433 78.1206100438825928 110.7855915632836883 -21.6715176707995099 154.4592961757327316 34.8717304869873317
    -357.7372555007306119       58.1906435484811766       27.4850993094020097        0.0000000000000000          0        162        108        102        114          0          0        0.0000000000000000 265.7857051545690297 136.7220795299696761 165.1121458212784319 18.3461247519714732 -40.9286133888096870 56.9381215643976901 317.7514614928505239 129.1460084652646003
    -305.4145291996043170      -50.6576275902877597      -40.3232373876972332        0.0000000000000000          0        173        121        120        104          0          0        0.0000000000000000 88.0751686012492314 17.0520982683218847 -78.1058301983456147 -174.5646048910921877 -42.8311910497761801 -72.9809374989544324 -139.6582936911956949 32.6315102386466904
    -290.5740318699969293      -33.9512359714776650        4.5418597872428670        0.0000000000000000          0        193        126        130        130          0          0        0.0000000000000000 157.2575137433190662 -20.3282269943709153 -92.9253692578838582 -218.1712958153697173 84.1837893403801587 24.9420494973345512 8.9615480197009720 -152.0537291358337484
    -359.7999497038815093       20.0550069573061194      -25.3896326291860888        0.0000000000000000          0        170        119        112        105          0          0        0.0000000000000000 1.1472209803868649 -8.3133288094279987 12.2822633994922121 6.8107794557323871 -5.5357897356777315 -3.0963446329554798 2.9581274770365349 -12.1485206538247326
    -366.2004913353262623       61.6672494744585791      -17.5277501882819031        0.0000000000000000          0        156        103        110         98          0          0        0.0000000000000000 .5152336881806894 -5.4563559154668235 .4912987301661040 6.3549083153818469 -1.7472962277452004 3.6843331318654369 -5.3359167618402914 -2.9562074640819231
    -318.6100133581775822      -21.2337064426489412        2.2851094589595125        0.0000000000000000          0        177        105        108        137          0          0        0.0000000000000000 339.8418146261095671 335.0507253241710259 75.8179921077046544 -80.5868708262036506 -234.7179000206539001 -170.2180566746491195 -240.7873561102826727 212.6796055289364631
    -247.2669133440513463      -14.8002392037184975       18.4398127607949540        0.0000000000000000          0        194        128        128        132          0          0        0.0000000000000000 82.5892691793127085 17.5851871264295099 125.7538088346514513 -63.7630395801827561 -56.7723682876909592 -124.5059967317736920 -145.4801645890215411 25.4459433320608532
    -274.1676845887825493      -18.7432449977053395       30.5712267450568440        0.0000000000000000          0        184        124        112        129          0          0        0.0000000000000000 59.1057609961872927 -43.2553910706971863 -81.0005346264049138 -70.8506448288213875 -34.2969755466242177 65.8664462833223894 30.1173633250491370 24.2898663465615314
    -352.2090953503771971       17.2279450934583629      -16.7376470742714289        0.0000000000000000          0        169        106        101        129          0          0        0.0000000000000000 68.5286116931318645 32.4824484076553119 79.4195271188939387 -17.3094262736221367 105.9264506393097349 -16.1599937148282429 -4.4545736890829630 -49.9900693845368878
    -361.6609871290766023       34.6206608494312178      -16.2851583028277211        0.0000000000000000          0        163        110        110        106          0          0        0.0000000000000000 129.7205387272434507 124.1159366188250885 33.2222803954004107 -108.6759778559042928 52.5387926940009606 -99.2272092915796406 -87.8681987052123503 88.6483852917005066
    -354.4160564727247902       44.2838693946428208       64.6871920367654667        0.0000000000000000          0        165        100        116        112          0          0        0.0000000000000000 298.2460787218382734 226.6280931902204543 297.1686511029377016 7.0810920298128366 114.0192490135861192 16.8951644422050755 31.6271195626454897 266.5345388600554770
    -312.0047012937836257       44.1886393507733359       40.3732662512787783        0.0000000000000000          0        179        129        116        110          0          0        0.0000000000000000 90.7304629743846789 42.2709011723122856 82.2060387319429822 13.1042766169457821 90.2133613084568822 176.3151134281265797 48.5438625520480898 -57.6786907267097604
    -308.6217049570742574      -18.0449556899372539       22.5084743085630521        0.0000000000000000          0        172        116         99        127          0          0        0.0000000000000000 672.9322677409190874 212.9409533019405671 299.8780366439615932 -113.1762323225287332 -340.7785131071951241 53.1984879904258250 -49.2649364435895407 -69.5914750837423668
    -292.7726865861899910      -19.9416097061908424       77.0522304629546539        0.0000000000000000          0        190        128        120        131          0          0        0.0000000000000000 144.4635833033322854 -140.2633235340580882 -223.0202658604837893 -95.8533416775579354 -90.5183615761230413 -11.8443564582557599 86.3121436952906294 125.7234626423909276
    -350.6169983663460243       23.5606226025752648      -69.0507706232421867        0.0000000000000000          0        180        114        128        118          0          0        0.0000000000000000 346.7681028411964235 122.4532933691911012 231.2857557459038560 51.8422509402841740 102.7501730786157310 29.1972931685975254 59.1253391042524470 412.1698684705112328
    -249.4822114700468205       12.5390183184248816       42.8707458632301410        0.0000000000000000          0        194        143        115        125          0          0        0.0000000000000000 116.2556962511509369 195.5770122756680962 30.4052956747888068 160.8143642773896431 130.0851567510868563 -74.6503204616799536 -41.7203592460319967 -70.9988179380451783
    -325.8102660224355418       -4.0353234330480880      -58.4353306857588635        0.0000000000000000          0        172        102        120        119          0          0        0.0000000000000000 543.3555252228604786 434.1553550926567482 344.0567692339188284 -43.5360660836363280 -177.6854123391304654 -267.5034286531256384 21.5337836417575517 24.5902380768560072
    -357.0441209386821697       15.9293569964520998      -19.8074769090184759        0.0000000000000000          0        171        123         98        118          0          0        0.0000000000000000 390.0002755305389428 -44.5933835578141924 -247.9123748033070456 -460.1138945217539913 -178.7151698096314476 -138.4602498257411582 287.2596950389804533 451.2402078685069000
    -295.0169593625456059       51.4781928954706416      -39.6664291695710176        0.0000000000000000          0        170        116        112        112          0          0        0.0000000000000000 14.0930194229031542 6.2545289952960275 46.2159469790454125 67.3232561670828602 31.9333151255263488 31.0899170228160244 41.9277955085753149 -7.1391179950152974
    -347.2705061473452020      -53.2895481736581118        5.0469884536392096        0.0000000000000000          0        161        100        112        110          0          0        0.0000000000000000 36.1877005065692359 -6.1851655059488611 67.5943009173611671 1.2989166472834999 114.9899973684987771 11.4124640076307706 .5703723163406851 91.6039922846550922
