                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
    8509.6431722341822024     2191.2788470207065075        0.0000000000000000       8320        170        114        110        116          0          0        0.0000000000000000 146629.5550885366392322 145093.1591867179085966 138321.8481394819682464 141719.0687458285246976 135453.2897394314641133 135637.7398620157327969 130286.6854110671702074 135851.8236057019967120 144352.6659751410770696 148075.8439807852846570 144017.3175881928473245 135522.9317425938497763 141506.9410513590555638 136007.0740073789784219 136136.8150108444970101 132954.3728986651403829 131033.4889736665354576 138804.8807813662569970 133911.8317582614254206 138950.8552504313993268 144130.1230322309129406 135135.8908801465004217 143610.7021985391620547 147497.2741545726894401
   -8560.6514339902169013     1446.2630672386010247        0.0000000000000000       6731        192        134        126        124          0          0        0.0000000000000000 142015.7799916291842237 135643.8174110405670945 139087.4645073594001587 139094.2254662447376177 132133.0856334849668201 130417.5990107778197853 133339.2429433495562989 125652.8085751492180862 124890.2123021521401824 124697.5987960723723518 131759.3358048467489425 129325.8146835358347744 139162.5994541242835112 133410.1712957790587097 124893.7390321536076954 132692.7606434068293311 139029.6614716662734281 141651.0837920483900234 143560.4218792564643081 140136.3609894978580996 133118.9986411173304077 136849.3928906338696834 136426.1559691499569453 135627.1574857639207039
    1051.3693311794227156    -8506.5350168745135306        0.0000000000000000       8260        203        136        138        132          0          0        0.0000000000000000 129731.3841558740095934 131143.5314731089456473 132221.6454919536481611 137873.7315920144319534 125683.0658832116168924 128896.4358906482812017 125667.0640032902592793 128334.2723209183313884 124951.9591028044815175 125564.4506251262355363 122627.8046730002242839 127041.5810955372871831 130540.1278601189987967 125311.3883479845972033 132936.2950769870367367 130045.1975742449722020 124009.7354300309671089 123865.9199085657746764 125991.4766880538081750 124252.5662721825501649 131683.3871498984517530 130500.8328899337939220 128796.0662522425263887 131020.6393173870455939
    8444.0621122799257137    -2260.4808267213684303        0.0000000000000000       4081        185        117        116        136          0          0        0.0000000000000000 130012.2118010380072519 128278.1130832455673954 128398.8761025940475520 125352.3496561845240649 130235.6759955988527508 137062.6503310806292575 135849.2337050929490943 125215.7312372467276873 126535.1494172697857721 120281.3565240704047028 109199.3143851843778975 119912.3447116970055504 117430.7769665995438118 120524.5971071430103621 130022.1562254916207166 134359.5778661828080658 131191.9757031118206214 128493.4581752340891398 132368.6181051666499116 140235.4482821959827561 134177.5621577218116727 133732.5350669492909219 130791.4128080057271291 132324.5369713712716475
   -7101.8962129508090584    -5092.0365719846886350        0.0000000000000000       3871        179        117        128        112          0          0        0.0000000000000000 134372.6734398658154532 129147.0551906512118876 133361.3372852376196533 134008.0602073551854119 131081.2548633736441843 131462.4496801621571649 129920.3207900992128998 130375.6152921495086048 136792.8980037010041997 126390.5113633981090970 130759.8998674162721727 132876.2513327750784811 125092.5645868671999779 124109.6048813737288583 122006.8166718185530044 126359.8871854442986660 139777.3967998101434205 131556.4682302882138174 134890.2647815111849923 139926.7159182653413154 134349.3297622880782001 130597.0975251879135612 137972.4146103016682900 138322.5182720696611796
   -7843.7564045058616102    -3915.9396406176711025        0.0000000000000000       7284        171        112        108        121          0          0        0.0000000000000000 152056.1058228087495081 150235.6036861182074063 144076.6994517500279471 144881.4155188658914994 136386.4803558097337373 141428.5992197561427020 138626.5697054218035191 142437.4603287749050651 133579.2893029693223070 136585.5644911542185582 132690.8441626910644118 148836.5758250002982095 145221.2481645443767775 133207.7324313883727882 135112.8676569776434917 138731.0603058689157479 139600.4279823672841303 136204.5847177498217206 142335.7351660948770586 142178.9280340255063493 136163.3626145360467490 136222.2020790513488464 152718.7659930428490043 139043.8331818299193401
   -7000.6869456083741170     5260.6207509001214930        0.0000000000000000       5353        207        144        130        139          0          0        0.0000000000000000 126406.9844482718472136 126889.3481172243482433 123264.6542455470189452 129023.6185116760607343 130265.5378428230178542 136806.3472280626883730 135714.5587653241527732 127589.9580505375633948 123384.4755041086464189 125432.5344573958136607 119993.4514736220735358 112850.1835912901442498 117941.3430546636227518 121280.1699132428620942 116646.7030265241628513 122700.7725841620995197 128514.8483786758733913 126521.6513965420163004 127912.1445157754787942 131441.0555911308911163 133278.2019278281077277 133292.4447928257868625 127291.4346402193768881 129117.3174734469503164
    -368.6014131365554931     8841.4760209411779215        0.0000000000000000       8436        162         96        112        116          0          0        0.0000000000000000 130169.0444186578388326 137576.2844974019390065 135552.7572322736086790 135826.9872917468310334 129389.5680865430331323 131067.4922684513294371 131581.2479955368035007 133137.5001077047782019 129606.6812983422423713 136621.1374453583557624 134402.0349266469420400 130058.6927938654989703 132854.9919077124504838 130999.1269916974124499 134929.9246488442877308 135082.1425984437519219 130863.6275239791139029 133412.9017007318616379 131216.5209441702754702 128780.0114659668033710 137808.3636500838329084 133939.3572633669828065 132471.8545436996209901 135282.5043386015458964
   -1457.7435014572997716    -8493.5946258458789089        0.0000000000000000       3597        229        166        146        146          0          0        0.0000000000000000 121836.9779060043947538 119779.1465789057692746 127604.4219130267883884 129200.9152645795693388 125677.7493271334969904 129580.5237579025415471 127407.1470157711446518 127333.1436440654069884 121169.1369264558597934 120949.1819704068766441 121241.1383880404173397 126563.4519518396264175 120966.8922925613296684 122263.4430018848652253 122268.0705130777205341 121368.1886637816642178 127352.3137288402213017 125009.9131754344125511 125664.7516054187144618 125762.3933143447211478 119292.7927024485834409 116687.9360516484011896 124239.3913351540541044 128975.1571719783969456
   -6970.6222043618954558     5464.0487664301545010        0.0000000000000000       4019        165        110        110        110          0          0        0.0000000000000000 132798.4479756748769432 132308.0752562552806921 127210.5968081898463424 135714.1780121079063974 135076.8915143179474398 137660.1177666407602374 139414.9016372060577851 132719.0602092166664079 139024.7348950606246945 130638.0741284594842000 133784.7172176683088765 128262.9103501298523042 132163.3666186495684087 135108.4820559258805588 134210.8407185307878535 138487.1412854570662603 134597.8996295897231903 137820.0525893355661537 133772.7518145008652937 138281.4812096036330331 132880.6813366249261890 135773.0440790975699201 130810.7442681698885281 136116.1583894772629719
