                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
   -9226.6540694546492887     3195.5353359568198357      948.1477629984111672        0.0000000000000000          0         20         16         13         10          0          0        0.0000000000000000 48555.3620415658660932 45650.6462852616386954 44694.0751774344462319 43430.4294416664561140 44290.2103042202288634 45118.7770444491179660 45122.2570994972484186 47122.5090504115651129 47900.4791645452351077 46459.0612616511716624 46681.5268506081483793 47422.1160843049874529 45154.8537744071509223 44307.0334643341120682 46476.5598567659035325 46006.6107750163209857
   -9277.8663602552878729     3064.1006324612840217     1404.5342119107410781        0.0000000000000000          0          6          4          4          4          0          0        0.0000000000000000 43181.0097346847396693 43845.3946370851408574 44098.2070416741407826 43316.5853746984066674 44647.4291926124642487 43131.3646082722480060 43555.1235613939788891 43392.4832605507472181 44049.5846510788542219 44205.8658426163456170 43031.5667085570894415 44148.2065805183374323 43205.8815903622817132 44048.5432543136994354 44911.8019814455037704 43192.1092431375582237
   -9503.0075286534320185     3295.2237988860083533      863.6666333227431096        0.0000000000000000          0         13          4         10         12          0          0        0.0000000000000000 46581.2904953110337374 44829.5997161887353286 45788.4232734214892844 45982.5911404283251613 46439.7688502992896247 47193.5055230291836779 46242.4299522125729709 45668.1256723698388669 44971.3704269948793808 46628.2507963186071720 46134.6485747565166093 46436.4153049412634573 44734.5367235562589485 45976.2584942766770837 46094.8372894769563572 45494.7126394760271069
   -9351.8075696855576098     3102.1765757503721943     1210.1870130566414900        0.0000000000000000          0         12          5          8         10          0          0        0.0000000000000000 47546.1913375847798306 46115.1868538373892079 46186.2528134109597886 45332.5261542650841875 43639.5592391805912484 44195.9117429334146436 46177.8578782134136418 44674.4979105605962104 42635.2475785376591375 43870.1276289198940503 44651.1335325285399449 44205.1796500552300131 45773.3337600794184254 45964.3471961519244360 46263.8700368907084339 46939.2468128724285634
   -9273.5745191761507158     3035.3951503160733409     1413.9187411623295247        0.0000000000000000          0          6          4          2          2          0          0        0.0000000000000000 40615.1137649780284846 42275.7262182079066406 41323.4494510071817786 41015.8226965712383389 40293.0574461149881245 40860.2883511612308212 40727.7123155213848804 43238.1310210525552975 43147.0205825982411625 43111.2525919286417775 42403.1437976508459542 42562.1087571628449950 43154.5890633705785149 42722.9274236890632892 44024.9936758576805005 41650.0243016129679745
   -9301.5718996053328738     2948.1486532615231226     1539.1492163854170485        0.0000000000000000          0         13         10          6         10          0          0        0.0000000000000000 44404.2531235671849572 43112.8524666235825862 42212.5382442910486134 39893.3813948032329790 37976.3836687765360693 40610.9128438222542172 39173.1059595434126095 42438.0550652321908274 43306.1581050757667981 41005.8260549481565249 41535.5227754705119878 41460.6054179425627808 42215.2125977625619271 42645.8463771267561242 42501.0311044475893141 44625.3197699335723883
   -9379.2679753319862357     2977.0073470699690006     1556.6645151648247065        0.0000000000000000          0          4          4          4          0          0          0        0.0000000000000000 44652.0954378646056284 44985.6243762269004947 42084.3259826400608290 43938.9166071556828683 44461.4996665348007809 46030.4564344666650868 44830.6549895776115591 43946.6026320320961531 45181.4091771773528308 44214.8872398461971898 43846.3071410220145481 45481.0684950499344268 43044.3470118413024466 41532.9281777485884959 43834.3174273596087005 43580.1525198001909303
   -9257.1935048143586755     3062.9964803699776894     1384.6467750017802700        0.0000000000000000          0         12          8          9          6          0          0        0.0000000000000000 44604.9219174927638960 43512.0412981900662999 44637.7620229127860512 44230.4551836922764778 43980.8449578050640412 43256.8437329563312232 44299.7393941972331959 43056.1638729910628172 44811.9593151178341941 43499.0266865504891030 44942.6335484649971477 44484.1419625258131418 45520.2246280386389117 44949.5802839799725916 43134.3315086939692264 45007.3135775137488963
   -9358.5436121092006942     3150.5921971868797300     1272.1002239211920823        0.0000000000000000          0          0          0          0          0          0          0        0.0000000000000000 48090.1799809855874628 44850.3583919026423246 45462.7311846814627643 47321.7757421785427141 48150.6468708102256642 46679.5899222811858635 45886.4361446087714285 47646.7491683024272788 44079.2152417836841778 45536.0439268376358086 46539.6626261306009837 46092.3453172618028475 45400.1705096381483600 46941.8281215858005453 47172.9440755630712374 47289.2097766110091470
   -9354.6424257768794632     3000.0271010489873333     1420.0363465768675724        0.0000000000000000          0          8          4          6          2          0          0        0.0000000000000000 41933.5451959806960076 42302.5420161092260969 42374.8245669227762846 43818.4053195141896140 42730.6571141544336569 42549.9108174415232497 42014.7371206803218229 39346.0239328104507877 41920.9592008501495002 38209.7192416130928905 40257.3497091239842121 41896.9619991955187288 42638.8003928766556783 41235.9118394760880619 42554.8797628579050070 42861.0898766900936607
   -9394.4841683670492785     3191.9385959884903059     1179.9420555996009625        0.0000000000000000          0          8          3          4          6          0          0        0.0000000000000000 43329.3967569620144786 45312.3138381145254243 44263.0379420286335517 44147.9049649966254947 43709.3954079723625910 43545.7506414802774088 42875.1860249122619280 42479.6047027693130076 43626.3803026709210826 46138.8316594256830285 43180.2183633459280827 43856.9325563320744550 45085.5227507811141550 45527.3831806810048874 45240.4849304760718951 43959.3986736069709877
   -9387.6914296447430388     3061.7102427039549184     1260.6729313068954070        0.0000000000000000          0         11         10          8          4          0          0        0.0000000000000000 49786.0571817330055637 48372.3863379826289020 47063.8833744374715025 43834.6493574595879181 42424.3424516854793183 40128.9209797285511740 42859.5744609282191959 43676.7304193971067434 46454.6357225765677867 47387.5809792301224661 46548.1595258147499408 44803.0598234203935135 46296.2261588137844228 47884.1807085362088401 48439.7527097587517346 45838.7392907743123942
   -9328.2286516829935863     2817.7814417041431625     1868.0684229153894194        0.0000000000000000          0         11          4          8         10          0          0        0.0000000000000000 42697.3619586570275715 43955.6886699936512741 45580.3846558013829053 44542.1873316834389698 44125.4234036342095351 44532.1408771689020796 44416.5066631131339818 43395.7256726108971634 41444.0260105885245139 45290.6164692956299405 44117.1187377769092564 44180.6726135690769297 43314.5777963543660007 44038.1025830089201918 41400.7768760230101179 41534.7350783855727059
   -9383.7099200085085613     2715.3074620754241550     2057.8811325605470302        0.0000000000000000          0         10          4          8          8          0          0        0.0000000000000000 43306.2824271766367019 44081.7908565835678019 44020.1660235950039350 44875.9955520046351012 44337.0912255534058204 43923.1560870141620398 43770.7266657432628563 44126.1674205173767405 45450.3007829570997274 43805.7626428118528565 43953.2954178362342645 45474.2618741596452310 43268.4202389967467752 43157.5134402752519236 44330.5840023377822945 45509.2094926211357233
