                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
    -243.8522014584378894       61.4251452585326234       19.9801932286517925        0.0000000000000000          0        198        131        150        114          0          0        0.0000000000000000 121.2822638466930414 155.8978641001766619 133.2731783741756999 -8.4405935105937395 115.4029173421904204 49.2275873022515071 107.5282060685086662 20.9091926190258413
    -240.0023181572982764       -8.7683270363555366       28.7935497268868517        0.0000000000000000          0        195        124        139        126          0          0        0.0000000000000000 274.8748220563540485 -239.9924925221087335 -3.8577691688027018 -100.8981952420334096 -14.1010064132164317 -100.8045524742562833 -239.2344953362401156 -46.1771728151424341
    -212.0818665400885550       17.0310568726996827      -18.3916578118463150        0.0000000000000000          0        199        116        148        133          0          0        0.0000000000000000 17.7493965561308649 44.9297040952674394 -27.9077949753875210 9.9340821461969107 -29.8302438868408153 4.7090572383983780 30.8160279335704246 43.0798606286024324
    -217.2164842716644273        1.8687272656444895        2.1301915365395199        0.0000000000000000          0        190        124        135        119          0          0        0.0000000000000000 58.8589366557293872 145.6782690755108831 56.7127519172084789 -49.2896138951624181 -61.1496576391709823 -16.4096134342270901 -76.4639328736331692 -49.5477880875961461
    -270.6820180822095381       49.5135524152080606      -51.0009748473104665        0.0000000000000000          0        178        110        120        126          0          0        0.0000000000000000 292.3903022175112483 132.6979539067493761 -52.8163352741310206 32.5303351582590423 242.1218712334094789 152.1251731797073603 314.7054161155983820 43.7149019255433089
    -240.8424666419927291       14.7975532680214208      -28.1713322963780115        0.0000000000000000          0        201        141        134        126          0          0        0.0000000000000000 301.3998539937585406 80.8221340763858791 130.5987732345749066 -111.4305448111392991 -230.3860404785598917 75.0446923751261608 106.9484624484323092 140.6296611773432232
    -268.6090854599813724      -44.0814977839715780       27.8880550282646631        0.0000000000000000          0        195        150        117        122          0          0        0.0000000000000000 118.9007493748644464 81.5018195783226105 -74.6947312304771458 99.0942898767336260 124.3449531718094079 -49.6242335893501902 -18.5252820182287437 191.0058600627308465
    -239.9521427393262627      -14.4790721652478727       48.2911724509995537        0.0000000000000000          0        192        118        134        132          0          0        0.0000000000000000 111.6600457608480212 94.8252693421138986 50.3936752632775082 27.0503387382513694 37.9512403648894008 30.6378229284401158 -81.9787311416761497 91.4002544234785432
    -239.0094842476433996       61.1385787412835597       20.5596689272350837        0.0000000000000000          0        194        121        126        136          0          0        0.0000000000000000 90.1039654370954395 167.7461716818825153 70.8967090192155638 138.4671043527797565 32.6596574717195551 -14.8719317339820911 49.9493303904029844 32.6430424093810032
    -212.2097120064177602       -0.5842324483820209        0.3314581503847588        0.0000000000000000          0        219        150        138        147          0          0        0.0000000000000000 51.2238767476274219 -83.1379629006578824 -69.9059680931145948 -14.1662475137638761 53.7626021653407236 72.7174039276468847 5.4493755804931263 -18.6472691750665867
    -204.7549811048810398      -25.7972849790399614       26.2370388443320017        0.0000000000000000          0        205        148        120        142          0          0        0.0000000000000000 90.9091157275305335 -72.2518689259166962 -70.9181948562677036 -141.7398021961565462 -94.9669580673588598 10.7575601783030468 -52.6881713283273854 -11.5082533310026989
    -258.8911086700270516       -1.3344733869129195       21.7063255299738778        0.0000000000000000          0        190        120        131        128          0          0        0.0000000000000000 53.2312537566209798 11.8095079211123082 -14.3232924074563499 -70.7366899975513093 -94.0897838972070275 -45.2720066768208440 39.0569485235062714 120.0311093328490415
    -226.4724613814089480      -29.0393927199266564       19.2987290253193855        0.0000000000000000          0        201        142        126        131          0          0        0.0000000000000000 259.9161573219547563 81.0440013474483862 1.8950429226651293 208.6770984311185373 37.5943444109355980 128.7421773228958557 -25.8130672483715102 -130.1614122031079148
